title,address,contact_number,amenities,coordinate,regency
dapur Tumirah,"Jl. Cikuda No.004, RT.006, Rangkasbitung Tim., Kec. Rangkasbitung, Kabupaten Lebak, Banten 42313 ",,,"-6.3673265, 106.2664428",  Lebak
Villa mandeg,"Q36W+2H5, Koranji, Cadasari, Pandeglang Regency, Banten 42251 ",,,"-6.2399805, 106.0964955", Pandeglang 
SAUNG ABAH MUHTAR,"6PHC+VW, Cikiruh, Cibitung, Pandeglang Regency, Banten 42285 ",,,"-6.7702512, 105.7223946", Pandeglang 
Kebun kita,"J582+W72, Curugpanjang, Cikulur, Lebak Regency, Banten ",,,"-6.3828782, 106.1509394", Lebak 
Villa Ceu Ihah,"Komp.Taman Graha Asri Blok GM17 No.8, Serang, Kec. Serang, Kota Serang, Banten 42116 ",,,"-6.1375596, 106.1585199",  Serang
Villa Leo Mandiri Naratama,"9JP9+69, Banyuasih, Cigeulis, Pandeglang Regency, Banten ",,,"-6.6137982, 105.6191515", Pandeglang 
Villa Bilal,"M49P+X3V, Pasirtangkil, Warunggunung, Lebak Regency, Banten 42352 ",phone:tel:081295978887,,"-6.3300186, 106.1351861", Lebak 
Kantor Pemasaran Villa Panenjo Asri,"Jl. Tb. Suwandi Lingkar Sealatan Batokbali Ciracas (Samping Perum Bukit, Permai / Citraland, Depan Sari Cibubur, Ciracas Kota Jakarta Timur, Serang, Kec. Serang, Kota Serang, Banten 13720 ",phone:tel:087808254441,,"-6.126864, 106.1420937",  Serang
K'Bon Panghegar,"Raya Ujung Kulon, Padasuka, Kec. Cimanggu, Kabupaten Pandeglang, Banten 42284 ",phone:tel:08111444100,,"-6.7094315, 105.6476994",  Pandeglang
KONTRAKAN UMI LIA,"F898+7Q4, Jl.Raya, Sajira, Kec. Muncang, Kabupaten Lebak, Banten 42371 ",,,"-6.5318708, 106.3169388",  Lebak
Villa Dewinta,"X35P+728, Villa permata hijau. Cluster saphire No, RW.5, Serdang, Kec. Kramatwatu, Kabupaten Serang, Banten 42616 ",phone:tel:0817717648,,"-6.0418462, 106.0850884",  Serang
Green Villa,"9J33+Q2X, Tangkilsari, Cimanggu, Pandeglang Regency, Banten 42284 ",phone:tel:087774133353,,"-6.645501, 105.6026006", Pandeglang 
Villa Batu bata merah,"M494+52Q, Sukaratu, Majasari, Pandeglang Regency, Banten 42211 ",phone:tel:0254204740,,"-6.3320268, 106.1051183", Pandeglang 
villa ngawi ✋😅🤚,"V498+F3X, Kuranji, Taktakan, Serang City, Banten 42162 ",,,"-6.131274, 106.114622", Serang 
Griya Vanya,"Kertajaya, Sumur, Pandeglang Regency, Banten 42283 ",,,"-6.6835032, 105.5719728", Pandeglang 
Home sweet twins blok D5 No 3,"J7H8+8G8, East Rangkasbitung, Rangkasbitung, Lebak Regency, Banten ",,,"-6.3717083, 106.2663176", Lebak 
Villa Karsiah,"Jl. Gurait, Melati, Kec. Waringinkurung, Kabupaten Serang, Banten 42453 ",,,"-6.079954, 106.05655",  Serang
Villa Cary,"7G59+8GJ, Kp. Sawah, Cigorondong, Sumur, Pandeglang Regency, Banten 42283 ",,,"-6.741652, 105.518757", Pandeglang 
Villa Bigboss Bilal,"M4FM+2P6, Pasirtangkil, Warunggunung, Lebak Regency, Banten 42352 ",phone:tel:081295978887,,"-6.3274577, 106.1342614", Lebak 
Full's Villa,"W4C5+65J, Jl komplek sankyu, Lebakwana, Kec. Kramatwatu, Kabupaten Serang, Banten 42616 ",phone:tel:08176585314,,"-6.079409, 106.107902",  Serang
Red House Beach Villa,"8H89+H5C, Jl. Taman Nasional Ujung Kulon, Kertamukti, Kec. Sumur, Kabupaten Pandeglang, Banten 42283 ",phone:tel:08128395500,,"-6.6835542, 105.5678832",  Pandeglang
zalli boy,"H462+R7, Gumuruh, Cileles, Lebak Regency, Banten 42353 ",phone:tel:081285644972,,"-6.437992, 106.100629", Lebak 
KENAN'S VILLA (KITA),"R5VG+49M, Cilaku, Curug, Serang City, Banten 42171 ",,,"-6.1572035, 106.176534", Serang 
Villa & pemancingan M.Toha,"Kp cimuncang, Sudimanik, Kec. Cibaliung, Kabupaten Pandeglang, Banten 42285 ",phone:tel:085694030876,,"-6.7448649, 105.7255346",  Pandeglang
Bp.dalang,"FC26+RJW, Taulus, Luhurjaya, Kec. Cipanas, Kabupaten Lebak, Banten 42372 ",,,"-6.5478863, 106.411577",  Lebak
Villa Baros,"Q4R3+M52, Unnamed Road,, Cisalam, Kec. Baros, Kabupaten Serang, Banten 42173 ",,,"-6.2083518, 106.1028814",  Serang
Vila abh Mulya,"5QC5+23M, Kutakarang, Cibitung, Pandeglang Regency, Banten ",,,"-6.8299135, 105.7576869", Pandeglang 
Rumah Bpk.Mukti,"H3Q9+P32, Prabugantungan, Cileles, Lebak Regency, Banten 42353 ",,,"-6.4107457, 106.0676557", Lebak 
Villa Kedaung,"Jl Kedawung gang, Taman Baru, Kec. Citangkil, Kabupaten Pringsewu, Banten 42446 ",phone:tel:083812529210,,"-6.0265737, 106.0386751",  Pringsewu
Sindang Bagja Villa,"CJJ9+H52, kp kalapa koneng, Banyuasih, Cigeulis, Pandeglang Regency, Banten 42282 ",,,"-6.5676253, 105.6174274", Pandeglang 
PURI DEWI SRI DARMAWAN,"GF29+55X, Pangradin, Jasinga, Bogor Regency, West Java 16670 ",phone:tel:085814753409,,"-6.4995081, 106.4679819", Bogor 
Villa Aqilla,"R6VC+QJC, Jl. Ciruas - Petir, Walantaka, Kec. Walantaka, Kota Serang, Banten 42183 ",,,"-6.15557, 106.221512",  Serang
Saung Abah Kaldam,"5QV8+VM5, Cikiruh, Cibitung, Pandeglang Regency, Banten 42285 ",,,"-6.8053734, 105.7667481", Pandeglang 
Villa Jaro Tatang,"J9C3+MQ, Buyut Mekar, Maja, Lebak Regency, Banten 42381 ",,,"-6.378272, 106.3543696", Lebak 
Villa Orange,"RX2V+JGP, Cipayung, Padarincang, Serang Regency, Banten 42168 ",,,"-6.1983861, 105.9938493", Serang 
Fila Abah Sarhedi,"5P79+9FR, Kiarajangkung, Cibitung, Pandeglang Regency, Banten 42285 ",,,"-6.8365168, 105.7186286", Pandeglang 
Rumah Adi.Saputra,"J7MF+93C, East Rangkasbitung, Rangkasbitung, Lebak Regency, Banten 42313 ",phone:tel:081219672397,,"-6.3665559, 106.2726463", Lebak 
Villa Kayu Pak Dede,"Jl. KH. Said No.62, Panyirapan, Kec. Baros, Kabupaten Serang, Banten 42173 ",,,"-6.2351451, 106.1189788",  Serang
Mess Penjaga Pintu Bendung,"6QXV+CW, Parungkokosan, Cikeusik, Pandeglang Regency, Banten 42286 ",,,"-6.7514503, 105.7948634", Pandeglang 
Villa Buron,"88QR+89P, Desa Cikuning, Sukamaju, Sobang, Lebak Regency, Banten 42318 ",phone:tel:082236914589,,"-6.6616721, 106.3409649", Lebak 
Villa TUGU,"Jl. Cianjur No.2, Banjarsari, Kec. Cipocok Jaya, Kota Serang, Banten 42123 ",,,"-6.1528329, 106.1815086",  Serang
Rhino Villas,"Kertajaya, Sumur, Pandeglang Regency, Banten 42283 ",,,"-6.661655, 105.577797", Pandeglang 
Villa D&D Andhika,"M6H6+2Q2, Asem Margaluyu, Cibadak, Lebak Regency, Banten 42357 ",,,"-6.3224963, 106.2118877", Lebak 
Villa Permata Hijau Cluster Topaz,"Jalan Bojonegara-Serdang No.8, Kramatwatu, Margatani, Serang, Kabupaten Serang, Banten 42422 ",phone:tel:0877772994489,,"-6.0425996, 106.0860824",  Serang
Villa Tanjung Lesung,"FMQG+89X, Jl. Raya Tj. Lesung, Tanjungjaya, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281 ",,,"-6.5116372, 105.6759704",  Pandeglang
Villa Daun Pisang Klutuk/Batu,"M522+F3R, Cipang Parang, Parage, Kec. Cikulur, Kabupaten Lebak, Banten 42356 ",phone:tel:087773521777,,"-6.3487736, 106.1501414",  Lebak
Villa azhar,"link, Jl. Sunan Bonang, RT.keracak rt19/RW.04, Batukuda, Kec. Mancak, Kabupaten Serang, Banten 42441 ",,,"-6.0434555, 105.9975938",  Serang
Rumah Toni RS,"9PPF+X92, Ciseureuheun, Cigeulis, Pandeglang Regency, Banten ",,,"-6.6126215, 105.7233814", Pandeglang 
Villa Kebun Raya Jamaika,"Jl. Raya Rangkasbitung Pandeglang No.1000, Warunggunung, Kec. Cibadak, Kabupaten Lebak, Banten 42352 ",,,"-6.3438512, 106.2081432",  Lebak
Villa Kaunang,"3268+5G, Mekarsari, Pulomerak, Cilegon, Banten ",,,"-5.9395257, 106.0163101",
Villa Ujung Kulon,"Jl. Taman Nasional Ujung Kulon No.Rt.001/001, Tamanjaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283 ",phone:tel:082223336187,,"-6.7832778, 105.5045559",  Pandeglang
Villa Haidar,"Lewikondang, Pandeglang Sub-District, Pandeglang Regency, Banten 42211 ",phone:tel:081285671772,,"-6.3270729, 106.1169647", Pandeglang 
Villa squad,"Q4MG+5QJ, Unnamed Road, Baros, Kec. Baros, Kabupaten Serang, Banten 42173 ",,,"-6.2170373, 106.1268846",  Serang
veraaaaa,"CQP4+VX8, Sobang, Pandeglang Regency, Banten 42281 ",,,"-6.5628057, 105.7574868", Pandeglang 
Villa Bitek,"9GPG+22M, Nanggung, Bogor Regency, West Java 16650 ",,,"-6.6149104, 106.525039", Bogor 
Villa Gokasi,"X32C+5M7, Jl. Raya Waringin Kurung, Margatani, Kec. Kramatwatu, Kabupaten Serang, Banten 42453 ",,,"-6.0495949, 106.071676",  Serang
Legon dadap villa,"Jl. Raya Tj. Lesung, Tanjungjaya, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281 ",phone:tel:081294630029,,"-6.514357, 105.690733",  Pandeglang
Villa Bambang Selahaur,"Jl. Kh Atim No.1, RT.02, Muara Ciujung Tim., Kec. Rangkasbitung, Kabupaten Lebak, Banten 42314 ",,,"-6.3466811, 106.2533694",  Lebak
Villa Cokelat Mancak,"Jl. Gunung Tekukur, Angsana, Kec. Mancak, Kabupaten Serang, Banten 42165 ",phone:tel:08111196880,,"-6.1019136, 106.0123579",  Serang
The NAZ Villa & Resort,"Jl. Raya Labuan-Panimbang, Tanjungjaya, batu hideung, Kabupaten Pandeglang, Banten ",phone:tel:085694358212,,"-6.5252409, 105.6287865",  Pandeglang
Villa Puncak by Plataran,"Puncak Rd No.KM 84, North Tugu, Cisarua, Bogor Regency, West Java 16750 ",phone:tel:082110049400, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Laundry service available  |  Pet-friendly available  |  Restaurant available  |  Kitchen in all rooms available  |  Airport shuttle unavailable  |  Fitness center unavailable ,"-6.6894329, 106.9623765", Bogor 
Villa andre,"VXXC+PGF, Kp. Pasir Kayang, Pasirwaru, Kec. Mancak, Kabupaten Serang, Banten 42165 ",,,"-6.10068, 105.97131",  Serang
Rhino Villa,"8HWP+2PW, Unnamed Road, Sumberjaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283 ",phone:tel:087772252266,,"-6.6548906, 105.5868141",  Pandeglang
villa citerep pamagersari,"GF53+5X5, Pamagersari, Jasinga, Bogor Regency, West Java ",,,"-6.4921177, 106.4549865", Bogor 
Villa Panenjo Asri/tb Azril,"Jl. Sayar, Gelam, Kec. Cipocok Jaya, Kota Serang, Banten 42128 ",phone:tel:087773736777,,"-6.161034, 106.1219049",  Serang
Villa Mega Camara,"CJ3G+Q2C, Banyuasih, Cigeulis, Pandeglang Regency, Banten 42282 ",phone:tel:08179818084,,"-6.595567, 105.6250256", Pandeglang 
Boscos09,"F4CW+38Q Bunut village, Mekar Rahayu, Kec. Bojongmanik, Kabupaten Lebak, Banten 42363 ",,,"-6.5297999, 106.14587",  Lebak
Saung Villa juragan Empang,"5JH6+M8C, Ciguha, Cibadak, Kec. Cimanggu, Kabupaten Pandeglang, Banten ",phone:tel:081511141641,,"-6.8208012, 105.6107648",  Pandeglang
Pps riyadhul mutafakkirin as-salahauri,"M735+7MC, Cijoro Lebak, Rangkasbitung, Lebak Regency, Banten 42317 ",,,"-6.3469805, 106.2591256", Lebak 
Villa Prima Group,"6G82+9P4, Tamanjaya, Sumur, Pandeglang Regency, Banten 42283 ",,,"-6.7841149, 105.5018425", Pandeglang 
KTA 2018 suhendar,"J4V3+MJF, Banjar, Pandeglang Regency, Banten 42252 ",,,"-6.3558162, 106.1040451", Pandeglang 
Vila Bambu Kuning,"FMHP+GG4, Tanjungjaya, Panimbang, Pandeglang Regency, Banten 42281 ",,,"-6.5212479, 105.6863182", Pandeglang 
Rina,"J434+3X7, Unnamed Road, Citalahab, Kec. Banjar, Kabupaten Pandeglang, Banten 42252 ",,,"-6.3973435, 106.1074271",  Pandeglang
Village Beach Andalas,"FPCM+96C, Mekarsari, Panimbang, Pandeglang Regency, Banten 42281 ",,,"-6.5290542, 105.7330279", Pandeglang 
Villa Mandabelle,"FMFX+V88, Jl. Raya Tj. Lesung, Citeureup, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281 ",, Free Wi-Fi available  |  Free breakfast unavailable  |  Free parking available  |  Outdoor pool available  |  Beach access available  |  Fitness center unavailable ,"-6.5253496, 105.6983342",  Pandeglang
Villa Biru Asifa,"FMPH+GQM, Tanjungjaya, Panimbang, Pandeglang Regency, Banten 42281 ",,,"-6.5136529, 105.6794341", Pandeglang 
Villa sasarean,"FPCV+XC3, Mekarsari, Panimbang, Pandeglang Regency, Banten 42281 ",,,"-6.5275561, 105.7437271", Pandeglang 
VILLA KRUCIT,"FMXF+M95, Unnamed Road, Tanjungjaya, Panimbang, Pandeglang Regency, Banten 42281 ",phone:tel:082310336473,,"-6.5008522, 105.6734994", Pandeglang 
Resort,"Jalan Raya Tanjung Lesung RT.02/RW.05 Citeureup, Tanjungjaya, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281 ",phone:tel:085210409889, Free Wi-Fi available  |  Free parking available  |  Pool unavailable  |  Laundry service available  |  Beach access available  |  Restaurant available  |  Fitness center unavailable ,"-6.5043841, 105.6692846",  Pandeglang
Villa bambu hitam cotage,"5JH6+M8C, Ciguha, Cibadak, Kec. Cimanggu, Kabupaten Pandeglang, Banten ",,,"-6.8208012, 105.6107648",  Pandeglang
Villa 3 Pintu,"5R88+32F, Jl. Raya Mantiung, Tanjungan, Kec. Cikeusik, Kabupaten Pandeglang, Banten 42286 ",,,"-6.8348191, 105.81505",  Pandeglang
Villa Firman Saepul Bahri,"5P94+9J8, Unnamed Road, Sindangkerta, Kec. Cibitung, Kabupaten Pandeglang, Banten 42285 ",,,"-6.8315793, 105.7065728",  Pandeglang
Penginapan villa/cottage tanjung lesung,"Tanjungjaya, Panimbang, Pandeglang Regency, Banten 42281 ",phone:tel:085210409889,,"-6.5127963, 105.6773873", Pandeglang 
Rumah Pak Shodiq,"5R88+53X, Jl. Raya Mantiung, Tanjungan, Kec. Cikeusik, Kabupaten Pandeglang, Banten 42286 ",,,"-6.8346659, 105.8154205",  Pandeglang
UBAY DAUN,"8HRP+HC8, Sumberjaya, Sumur, Pandeglang Regency, Banten 42283 ",,,"-6.6585942, 105.5860753", Pandeglang 
Villa Trisakti,"9JP9+69, Banyuasih, Cigeulis, Pandeglang Regency, Banten ",,,"-6.6144867, 105.6184717", Pandeglang 
Tom & Elke Ecolodge,"7HX2+M6M, Kp. Garung, Kertamukti, Kec. Sumur, Kabupaten Pandeglang, Banten 42283 ",,,"-6.7007988, 105.5505346",  Pandeglang
Rumah Pak Kyai Rodja,"5R88+75H, Tanjungan, Cikeusik, Pandeglang Regency, Banten ",,,"-6.8343134, 105.8154816", Pandeglang 
Guest House Dewan Nadzir,"Jl. Raya Mantiung, Tanjungan, Kec. Cikeusik, Kabupaten Pandeglang, Banten 42286 ",phone:tel:085640540142,,"-6.8350617, 105.8145722",  Pandeglang
Villa Serenity Beach Tanjung Lesung,"Jl. Panimbang, Banyuasih, Kec. Cigeulis, Kabupaten Pandeglang, Banten 42282 ",phone:tel:083159623766,,"-6.5550792, 105.6199967",  Pandeglang
Rumah Pak Kidong,"5R88+F3, Tanjungan, Cikeusik, Pandeglang Regency, Banten ",,,, Pandeglang 
Paket penginapan villa Homestay tanjung lesung,"Bunar, tanjung lesung, Pandeglang Regency, Banten 42281 ",phone:tel:081318944755,,"-6.505966, 105.6697186", Pandeglang 
Villa Cimalajang,"CMMX+743, Tarumanagara, Cigeulis, Pandeglang Regency, Banten 42282 ",,,"-6.5668617, 105.6978125", Pandeglang 
Villa Ci Biuk Beach,"Jl. Raya Tj. Lesung, Citeureup, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281 ",phone:tel:085697806476,,"-6.5019385, 105.6733472",  Pandeglang
Pajagan saung pak.sartib,"5P5X+HPM, Kp. Bunihieum, Kutakarang, Kec. Cibitung, Kabupaten Pandeglang, Banten ",,,"-6.8410348, 105.7493024",  Pandeglang
"Villa ARYADINATA VIII, Sumur Batu Cikeusik","Kp.Sumur batu, Sumur Batu, Kec. Cikeusik, Kabupaten Pandeglang, Banten 42286 ",,,"-6.7933701, 105.8571038",  Pandeglang
DFC Adventure Lodge,"6G32+443, Ujungjaya, Sumur, Pandeglang Regency, Banten 42283 ",phone:tel:081284919697,,"-6.7972355, 105.5002881", Pandeglang 
Rumahnya orang senang. Rumah passa,"Jl. Raya Sobang No.17, Pangkalan, Kec. Sobang, Kabupaten Pandeglang, Banten 42281 ",,,"-6.5550036, 105.7503164",  Pandeglang
Penginapan Bambu kuning tanjung lesung,"Tanjungjaya, Tanjung lesung, Pandeglang Regency, Banten 42281 ",phone:tel:081318944755,,"-6.5219093, 105.6860638", Pandeglang 
Guru sutarman,"Kp.benger No.003/001, Nanggala, Kec. Cikeusik, Kabupaten Pandeglang, Banten ",,,"-6.7348894, 105.8447967",  Pandeglang
Villa 8988,"8H9C+5G9, Jl. Taman Nasional Ujung Kulon, Kertajaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283 ",phone:tel:02162203088, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Laundry service available  |  Beach access available  |  Restaurant available  |  Fitness center unavailable ,"-6.6820793, 105.5713492",  Pandeglang
PONDOK PANIISAN NUSANTARA,"6GR6+PG2, Jl. Taman Nasional Ujung Kulon. Kp. Paniis, Tamanjaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283 ",,,"-6.7582288, 105.5112747",  Pandeglang
Rumah Ustadz Fauzan,"5R88+53X, Jl. Raya Mantiung, Tanjungan, Kec. Cikeusik, Kabupaten Pandeglang, Banten 42286 ",phone:tel:08568113064,,"-6.8345438, 105.8153756",  Pandeglang
Pondok Jati,"Jl. Raya Tj. Lesung, Tanjungjaya, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281 ",,,"-6.5115286, 105.6763364",  Pandeglang
Villa Curug Goong,"9PF2+8C2, Karyabuana, Cigeulis, Pandeglang Regency, Banten ",,,"-6.6267295, 105.7010279", Pandeglang 
Villa Puncak by Plataran,"Puncak Rd No.KM 84, North Tugu, Cisarua, Bogor Regency, West Java 16750 ",phone:tel:082110049400, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Laundry service available  |  Pet-friendly available  |  Restaurant available  |  Kitchen in all rooms available  |  Airport shuttle unavailable  |  Fitness center unavailable ,"-6.6894329, 106.9623765", Bogor 
Ujung Kulon Nirwana Resort,"Kertajaya, Sumur, Pandeglang Regency, Banten ",phone:tel:085811464960,,"-6.6632057, 105.5737061", Pandeglang 
Nien'S Villa Cisarua,"Jl. Hankam No.42B, RT.02/RW.03, Leuwimalang, Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16750 ",phone:tel:08179922922, Free Wi-Fi available  |  Free breakfast unavailable  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Kitchens in some rooms available  |  Airport shuttle unavailable  |  Fitness center unavailable ,"-6.6688822, 106.9305953",  Bogor
Villa Puncak Resort Cipanas - Adam,"Jalan Villa Puncak Resort, Sukanagalih, Kec. Pacet, Kabupaten Cianjur, Jawa Barat 43253 ",phone:tel:081906522540,,"-6.7054565, 107.0456813",  Cianjur
villa view2,"8X92+69H, Puncak Rd, North Tugu, Cisarua, Bogor Regency, West Java 16750 ",phone:tel:082110909440, Free Wi-Fi available  |  Free breakfast unavailable  |  Free parking available  |  Pool available  |  Air-conditioned available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Airport shuttle available  |  Fitness center unavailable ,"-6.6819296, 106.9509852", Bogor 
Saung Kiray Sadang.CIBALIUNG BANTEN,"7MMJ+HF6, Jl. Sumur - Cibaliung, Ciburial, Kec. Cimanggu, Kabupaten Pandeglang, Banten 42284 ",phone:tel:0818673263,,"-6.7160863, 105.6811545",  Pandeglang
Umang Beach Club Private Island Resort,"sumber jaya desa, Sumur, Pandeglang Regency, Banten ",phone:tel:08128395500, Free Wi-Fi available  |  Free parking available  |  Outdoor pool available  |  Laundry service available  |  Beach access available  |  Kid-friendly available  |  Restaurant available  |  Fitness center unavailable ,"-6.643039, 105.581721", Pandeglang 
RISKI BAROKAH,"6G93+XJ7, Tamanjaya, Sumur, Pandeglang Regency, Banten 42283 ",,,"-6.780082, 105.5040519", Pandeglang 
Villa Yaputra,"8XF5+Q22, North Tugu, Cisarua, Bogor Regency, West Java 16750 ",, Free Wi-Fi available  |  Free breakfast unavailable  |  Free parking available  |  Pool unavailable  |  Fitness center unavailable ,"-6.675603, 106.9575094", Bogor 
Villa BaBa.,"Jl. Taman Safari No.101, Cibeureum, Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16750 ",phone:tel:089637067654, Free Wi-Fi available  |  Paid breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned unavailable  |  Fitness center unavailable ,"-6.7107024, 106.9484362",  Bogor
Pinus Villa Dago,"no 41, Jl. Dago Pakar Permai II, Mekarsaluyu, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40135 ",, Free Wi-Fi available  |  Free breakfast unavailable  |  Free parking available  |  Outdoor pool available  |  Fitness center unavailable ,"-6.8653744, 107.636997",  Bandung
Manakala Villa,"Jalan Bukanagara, Gg. Abahminta, Kayuambon, West Bandung Regency, West Java ",, Free Wi-Fi available  |  Free breakfast unavailable  |  Free parking available  |  Outdoor pool available  |  Laundry service available  |  Fitness center unavailable ,"-6.8253929, 107.6316409", West Bandung 
Dago Village,"Jalan Pakar Timur, Ciburial, Cimenyan, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198 ",, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Fitness center unavailable ,"-6.8550366, 107.6477278",  Bandung
Villa Arzama,"P46P+P7V, Jl. Raya Nanggor, Pagadungan, Kec. Karang Tj., Kabupaten Pandeglang, Banten 42251 ",,,,  Pandeglang
villa sigit juragan sate,"Jl. Nusa Indah Raya II No.44, RT.003/RW.009, Periuk, Kec. Periuk, Kota Tangerang, Banten 15131 ",phone:tel:081413489227,,"-6.1632743, 106.5958429",  Tangerang
Villa ZABINDRA,"Perumahan Talaga Bestari Blok B6 no 1, Jl. Pandawa 5 No.3 No.1, Wana Kerta, kecamatan sindajaya, Kabupaten Tangerang, Banten 15560 ",,,"-6.1901143, 106.5005019",  Tangerang
Villa Mutiara Pluit B3/12A,"Jl. Villa Mutiara Pluit No.B3, Periuk, Tangerang City, Banten 15131 ",,,"-6.1673567, 106.5978414", Tangerang 
