title,review_point,review_total,contact_number,open_hours,metadata,coordinate,link,sub_category,address,site,Service options,Offerings,Dining options,Amenities,Atmosphere,Crowd,Payments,regency,Accessibility,Planning,price_level,short_description,Highlights,check_in,From the business,check_out,amenities
RM tanjung jaya,4.3,19 reviews,, 9AM to 9:30PM,,"-6.5524324, 106.6382065",https://www.google.com/maps/place/RM+tanjung+jaya/data=!4m7!3m6!1s0x2e69db03d8914843:0x655d5117ea882402!8m2!3d-6.5524324!4d106.6382065!16s%2Fg%2F11j1385tjx!19sChIJQ0iR2APbaS4RAiSI6hdRXWU?authuser=0&hl=en&rclk=1,Restaurant,"CJXQ+27G, Jl. Raya Karehkel, Karehkel, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",,Takeaway | Dine-in,Coffee | Halal food,Lunch | Dinner,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,  Bogor,,,,,,,,,
Bakso Mm 81,,,,,,"-6.5613707, 106.6541486",https://www.google.com/maps/place/Bakso+Mm+81/data=!4m7!3m6!1s0x2e69db92a032e8bb:0x79038188824ceae8!8m2!3d-6.5613707!4d106.6541486!16s%2Fg%2F11t28d5wcb!19sChIJu-gyoJLbaS4R6OpMgoiBA3k?authuser=0&hl=en&rclk=1,Restaurant,"Dukuh, Cibungbulang, Bogor Regency, West Java ",,Takeaway | Dine-in,Halal food,,Good for kids,Cosy,Groups,Cash only, Bogor ,,,,,,,,,
Asinan Bu Tati,4.5,2 reviews,phone:tel:081286466422, 10AM to 3PM,,"-6.549323, 106.6412378",https://www.google.com/maps/place/Asinan+Bu+Tati/data=!4m7!3m6!1s0x2e69ddd3d3479b17:0x744226938ee1525d!8m2!3d-6.549323!4d106.6412378!16s%2Fg%2F11jfc29lrf!19sChIJF5tH09PdaS4RXVLhjpMmQnQ?authuser=0&hl=en&rclk=1,Restaurant,"Jl. Raya Karehkel No.37, Karehkel, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",,Takeaway | Dine-in,Halal food,,Good for kids,Cosy,,Cash only,  Bogor,,,,,,,,,
Rm.Sunda,,,,,,"-6.5558388, 106.6568402",https://www.google.com/maps/place/Rm.Sunda/data=!4m7!3m6!1s0x2e69db8b8a369b63:0x1b4b4ba73a06f978!8m2!3d-6.5558388!4d106.6568402!16s%2Fg%2F11s2m1qlqy!19sChIJY5s2iovbaS4RePkGOqdLSxs?authuser=0&hl=en&rclk=1,Restaurant,"CMV4+MP8, Jl. Cijujung Raya, Cijujung, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16630 ",,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,  Bogor,,,,,,,,,
Warung Uduk Bi Neneng,5,1 review,, 10AM to 9PM,,"-6.5554446, 106.6558266",https://www.google.com/maps/place/Warung+Uduk+Bi+Neneng/data=!4m7!3m6!1s0x2e69db0d78bef809:0x2602ab948b3a23b6!8m2!3d-6.5554446!4d106.6558266!16s%2Fg%2F11lgc__4mf!19sChIJCfi-eA3baS4RtiM6i5SrAiY?authuser=0&hl=en&rclk=1,Restaurant,"CMV4+R8G, Cijujung, Cibungbulang, Bogor Regency, West Java 16630 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,,Cash only, Bogor ,,,,,,,,,
Bakso Gajah Mungkur Karehkel,4.3,121 reviews,phone:tel:085775752661, 8AM to 9PM,,"-6.5529167, 106.6375693",https://www.google.com/maps/place/Bakso+Gajah+Mungkur+Karehkel/data=!4m7!3m6!1s0x2e69dbf8f30f397d:0x8c739512c35b3449!8m2!3d-6.5529167!4d106.6375693!16s%2Fg%2F11dxkxqvfd!19sChIJfTkP8_jbaS4RSTRbwxKVc4w?authuser=0&hl=en&rclk=1,Bakso restaurant,"CJWQ+R2P, Karehkel, Leuwiliang, Bogor Regency, West Java 16640 ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only, Bogor ,Wheelchair-accessible seating,,,,,,,,
Ayam Dadar Bandung Cabang Bogor Asri,,,phone:tel:08999568253, 7AM to 9:30PM,,"-6.5517611, 106.6290606",https://www.google.com/maps/place/Ayam+Dadar+Bandung+Cabang+Bogor+Asri/data=!4m7!3m6!1s0x2e69dfc27921d4f1:0xc748119185f1903b!8m2!3d-6.5517611!4d106.6290606!16s%2Fg%2F11gnphwkl1!19sChIJ8dQhecLfaS4RO5DxhZERSMc?authuser=0&hl=en&rclk=1,Chicken restaurant,"perumahan Bogor asri blok AA1 no 12, Karehkel, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only,  Bogor,,,,,,,,,
Cibeber Fried Good (CFG),,,phone:tel:085892828277, 10AM to 9PM,,"-6.566801, 106.6134453",https://www.google.com/maps/place/Cibeber+Fried+Good+(CFG)/data=!4m7!3m6!1s0x2e69d97008e3ea4d:0x999db784e7ad4cdc!8m2!3d-6.566801!4d106.6134453!16s%2Fg%2F11hsm5wpwl!19sChIJTerjCHDZaS4R3Eyt54S3nZk?authuser=0&hl=en&rclk=1,Restaurant,"Kp. Gunug Tangkil Barat RT/RW 001/003 Desa, Cibeber I, Kec. Leuwisadeng, Kabupaten Bogor, Jawa Barat 16640 ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,,,  Bogor,,,,,,,,,
Rumah Makan Tanjung Raya,5,2 reviews,, 10AM to 9PM,,"-6.5613033, 106.6541497",https://www.google.com/maps/place/Rumah+Makan+Tanjung+Raya/data=!4m7!3m6!1s0x2e69db92a023a853:0xbbdcefda10e18257!8m2!3d-6.5613033!4d106.6541497!16s%2Fg%2F11jwshy1bz!19sChIJU6gjoJLbaS4RV4LhENrv3Ls?authuser=0&hl=en&rclk=1,Indonesian restaurant,"Dukuh, Cibungbulang, Bogor Regency, West Java ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only, Bogor ,,,,,,,,,
Lesehan Sahabat,4.5,24 reviews,, 10AM to 9PM,,"-6.5686753, 106.6218723",https://www.google.com/maps/place/Lesehan+Sahabat/data=!4m7!3m6!1s0x2e69d95c15534977:0x61ae8105dca9abc7!8m2!3d-6.5686753!4d106.6218723!16s%2Fg%2F11bc7v1238!19sChIJd0lTFVzZaS4Rx6up3AWBrmE?authuser=0&hl=en&rclk=1,Sundanese restaurant,"Jl. Raya Cibeber KM.22, Cibeber I, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",,Outdoor seating | Delivery | Takeaway | Dine-in,Coffee | Halal food,Lunch | Dinner | Dessert,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,  Bogor,Wheelchair-accessible car park | Wheelchair-accessible seating,Accepts reservations,,,,,,,
Az Zahra Restaurant,4.2,19 reviews,phone:tel:087873771594, 10AM to 9PM,,"-6.5674647, 106.6189638",https://www.google.com/maps/place/Az+Zahra+Restaurant/data=!4m7!3m6!1s0x2e69d95c30f9d245:0xb9cb3344bd39a6e6!8m2!3d-6.5674647!4d106.6189638!16s%2Fg%2F11f1n5tzyk!19sChIJRdL5MFzZaS4R5qY5vUQzy7k?authuser=0&hl=en&rclk=1,Restaurant,"CJM9+2H8, Jalan Raya, Cibeber I, Leuwiliang, Bogor Regency, West Java 16640 ",https://az-zahra-restaurant.business.site/,Delivery | Takeaway | Dine-in,Coffee | Halal food | Kids' menu,Lunch | Dessert,Good for kids | Toilets,Casual | Cosy,Groups,, Bogor ,,Accepts reservations,,,,,,,
Juragan Bakso Putri Pandu,5,2 reviews,phone:tel:085882242410, 9 to 10AM,,"-6.5518773, 106.6387301",https://www.google.com/maps/place/Juragan+Bakso+Putri+Pandu/data=!4m7!3m6!1s0x2e69dbe5d6dbc1f1:0xe5684ddf290a119d!8m2!3d-6.5518773!4d106.6387301!16s%2Fg%2F11f8hyg3y2!19sChIJ8cHb1uXbaS4RnREKKd9NaOU?authuser=0&hl=en&rclk=1,Bakso restaurant,"CJXQ+6FX, Jl raya pandu, Karehkel, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,  Bogor,,,,,,,,,
Warung Gado Gado Mamih Ria,,,, 10AM to 6PM,,"-6.5689035, 106.6260452",https://www.google.com/maps/place/Warung+Gado+Gado+Mamih+Ria/data=!4m7!3m6!1s0x2e69d9bf78cdaae3:0xa64b61bf40ebd7fc!8m2!3d-6.5689035!4d106.6260452!16s%2Fg%2F11sfh5z4_3!19sChIJ46rNeL_ZaS4R_NfrQL9hS6Y?authuser=0&hl=en&rclk=1,Restaurant,"Perumahan BTN, Blok C No. 06, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only,  Bogor,,,,,,,,,
Bakso solo 99,,,,,,"-6.5545233, 106.6574826",https://www.google.com/maps/place/Bakso+solo+99/data=!4m7!3m6!1s0x2e69db197b35c53f:0x81271f01b6a9a65e!8m2!3d-6.5545233!4d106.6574826!16s%2Fg%2F11kp7n_bjb!19sChIJP8U1exnbaS4RXqaptgEfJ4E?authuser=0&hl=en&rclk=1,Restaurant,"CMW4+5XX, Jl. Jatake, Cijujung, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16630 ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Cosy,,Cash only,  Bogor,,,,,,,,,
Warteg Sid Ajadi,3,2 reviews,,,,"-6.5657088, 106.6139488",https://www.google.com/maps/place/Warteg+Sid+Ajadi/data=!4m7!3m6!1s0x2e69d94450bf6293:0x4013361d49226867!8m2!3d-6.5657088!4d106.6139488!16s%2Fg%2F11j445m_mh!19sChIJk2K_UETZaS4RZ2giSR02E0A?authuser=0&hl=en&rclk=1,Tegal restaurant,"Leuwisadeng, Bogor Regency, West Java ",,Takeaway | Dine-in,Coffee | Halal food,Lunch,,Cosy,,Cash only, Bogor ,Wheelchair-accessible car park | Wheelchair-accessible entrance,,,,,,,,
Padepokan H. Gazali Bey,4.5,22 reviews,phone:tel:08161320938, 8AM to 6PM,,"-6.5765311, 106.6411335",https://www.google.com/maps/place/Padepokan+H.+Gazali+Bey/data=!4m7!3m6!1s0x2e69dbc3525c487d:0x602b642aa612442c!8m2!3d-6.5765311!4d106.6411335!16s%2Fg%2F11g8vt820w!19sChIJfUhcUsPbaS4RLEQSpipkK2A?authuser=0&hl=en&rclk=1,Restaurant,"CJFR+9FJ, Cemplang, Cibungbulang, Bogor Regency, West Java 16630 ",,Takeaway | Dine-in,Coffee | Halal food | Kids' menu,Dessert,Good for kids | Toilets,Casual | Cosy,Groups,, Bogor ,Wheelchair-accessible seating,,$,,,,,,
Rm. ABG,1,1 review,phone:tel:081285937142,,,"-6.570149, 106.6415418",https://www.google.com/maps/place/Rm.+ABG/data=!4m7!3m6!1s0x2e69db181f3d2fb1:0x39bd75c01c38fc60!8m2!3d-6.570149!4d106.6415418!16s%2Fg%2F11fnqwbvlw!19sChIJsS89HxjbaS4RYPw4HMB1vTk?authuser=0&hl=en&rclk=1,Restaurant,"CJHR+WJV, Jl raya, Galuga, Cibungbulang, Bogor Regency, West Java 16630 ",,Delivery | Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only, Bogor ,,,,,,,,,
Anung seafood Leuwiliang,3.8,4 reviews,phone:tel:085774304426, 7AM to 8:01PM,,"-6.5694182, 106.6303429",https://www.google.com/maps/place/Anung+seafood+Leuwiliang/data=!4m7!3m6!1s0x2e69dbe35a1007cd:0x4ecf03997fefa1d7!8m2!3d-6.5694182!4d106.6303429!16s%2Fg%2F11nz3nx69k!19sChIJzQcQWuPbaS4R16Hvf5kDz04?authuser=0&hl=en&rclk=1,Seafood restaurant,"Jl. Lkr. Leuwiliang, Leuwiliang, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",,No-contact delivery | Delivery | Takeaway | Dine-in,Halal food,Dinner,Good for kids,Casual | Cosy,Groups,,  Bogor,,Reservations required | Accepts reservations,,,,,,,
Kedai Nur resti,5,3 reviews,, 10AM to 8PM,,"-6.5732641, 106.6323366",https://www.google.com/maps/place/Kedai+Nur+resti/data=!4m7!3m6!1s0x2e69db5f8cf1ebff:0x7203ae9a86905f32!8m2!3d-6.5732641!4d106.6323366!16s%2Fg%2F11mvgmgfrz!19sChIJ_-vxjF_baS4RMl-QhpquA3I?authuser=0&hl=en&rclk=1,Restaurant,"Jl. Raya Karehkel No.18, Leuwiliang, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",,Delivery | Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,  Bogor,,,,,,,,,
Burger Bangor Leuwiliang,4.5,120 reviews,phone:tel:081315582566, 10AM to 10PM,,"-6.5700458, 106.6239486",https://www.google.com/maps/place/Burger+Bangor+Leuwiliang/data=!4m7!3m6!1s0x2e69d9ba8a5ce6ef:0xa8c8d583ddb71205!8m2!3d-6.5700458!4d106.6239486!16s%2Fg%2F11q2w14pkz!19sChIJ7-ZcirrZaS4RBRK33YPVyKg?authuser=0&hl=en&rclk=1,Hamburger restaurant,"CJHF+XHP, Jalan Raya, Cibeber I, Leuwiliang, Bogor Regency, West Java 16640 ",,,Coffee | Halal food | Kids' menu,Lunch | Dinner,Good for kids | Toilets,Casual | Cosy,Groups,Debit cards, Bogor ,Wheelchair-accessible car park,Accepts reservations,,,Fireplace,,,,
Hegar Manah Rumah Makan,4.1,13 reviews,, 9AM to 9PM,,"-6.572272, 106.622332",https://www.google.com/maps/place/Hegar+Manah+Rumah+Makan/data=!4m7!3m6!1s0x2e69d95df72bc27d:0x642283aaedd8e45c!8m2!3d-6.572272!4d106.622332!16s%2Fg%2F11gzb8lc5!19sChIJfcIr913ZaS4RXOTY7aqDImQ?authuser=0&hl=en&rclk=1,Restaurant,"Pasar Leuwiliang Blok B No. 29, Jl. Raya Leuwiliang, Cibeber I, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",,Takeaway | Dine-in,Coffee | Halal food,Breakfast | Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,  Bogor,Wheelchair-accessible seating,Accepts reservations,,,,,,,
Isman,,,,,,"-6.5733937, 106.6350492",https://www.google.com/maps/place/Isman/data=!4m7!3m6!1s0x2e69db21b2312b99:0xdad1454db015dd8!8m2!3d-6.5733937!4d106.6350492!16s%2Fg%2F11k8g4ms6l!19sChIJmSsxsiHbaS4R2F0B21QUrQ0?authuser=0&hl=en&rclk=1,Restaurant,"CJGP+J2V, Leuwiliang, Bogor Regency, West Java 16640 ",,Takeaway | Dine-in,Halal food,,Good for kids,Cosy,,Cash only, Bogor ,,,,,,,,,
Ayam Geprek Aa,5,1 review,,,,"-6.5657545, 106.6145667",https://www.google.com/maps/place/Ayam+Geprek+Aa/data=!4m7!3m6!1s0x2e69d944f82ba713:0x786fccdea0272b69!8m2!3d-6.5657545!4d106.6145667!16s%2Fg%2F11k5t57prn!19sChIJE6cr-ETZaS4RaSsnoN7Mb3g?authuser=0&hl=en&rclk=1,Chicken restaurant,"Leuwisadeng, Bogor Regency, West Java ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only, Bogor ,,,,,,,,,
Restoran Perahu Layar,4.1,478 reviews,phone:tel:081511213639, 10AM to 9:30PM,,"-6.5639532, 106.607284",https://www.google.com/maps/place/Restoran+Perahu+Layar/data=!4m7!3m6!1s0x2e69d947c5ede309:0x8ecef32ffebaeecc!8m2!3d-6.5639532!4d106.607284!16s%2Fg%2F11gfp0ztxn!19sChIJCePtxUfZaS4RzO66_i_zzo4?authuser=0&hl=en&rclk=1,Seafood restaurant,"jasinga Km 18 kampung jambu Rt 02/02, Kabupaten Bogor, Jawa Barat 16640 ",,Outdoor seating | Delivery | Takeaway | Dine-in,Coffee | Halal food | Kids' menu | Late-night food | Vegetarian options,Brunch | Lunch | Dinner | Catering | Dessert,Bar on site | Good for kids | Toilets | Free Wi-Fi,Casual | Cosy,Family friendly | Groups,Cash only | Debit cards,  Bogor,Wheelchair-accessible entrance | Wheelchair-accessible seating,Accepts reservations,$$,,,,,,
Warung Nasi Masakan Sunda Barokah,,,, 9AM to 9PM,,"-6.5721, 106.6670792",https://www.google.com/maps/place/Warung+Nasi+Masakan+Sunda+Barokah/data=!4m7!3m6!1s0x2e69dba28c0aab25:0xdc834fe868428d63!8m2!3d-6.5721!4d106.6670792!16s%2Fg%2F11h5kmdtjr!19sChIJJasKjKLbaS4RY41CaOhPg9w?authuser=0&hl=en&rclk=1,Restaurant,"Cimanggu 1, Cibungbulang, Bogor Regency, West Java ",,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only, Bogor ,,,,,,,,,
Tuang Food and Coffee,4.6,84 reviews,, 11AM to 10PM,,"-6.5755786, 106.6467998",https://www.google.com/maps/place/Tuang+Food+and+Coffee/data=!4m7!3m6!1s0x2e69dbd201cc4a73:0xfba6bf8f1a9834e7!8m2!3d-6.5755786!4d106.6467998!16s%2Fg%2F11rgcz4tbw!19sChIJc0rMAdLbaS4R5zSYGo-_pvs?authuser=0&hl=en&rclk=1,Seafood restaurant,"Jl. Raya Cibungbulang No.74, Dukuh, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16118 ",,Outdoor seating | Takeaway | Dine-in,Coffee | Halal food | Kids' menu,Lunch | Dinner | Dessert,Good for kids | Toilets,Casual | Cosy,Groups,,  Bogor,,Accepts reservations,,,,,,,
Warung mas uciel,,,,,,"-6.5707442, 106.6357909",https://www.google.com/maps/place/Warung+mas+uciel/data=!4m7!3m6!1s0x2e69db9a6c8a411f:0x5107ce059ee59ba!8m2!3d-6.5707442!4d106.6357909!16s%2Fg%2F11tg26x32m!19sChIJH0GKbJrbaS4RulnuWeB8EAU?authuser=0&hl=en&rclk=1,Restaurant,"CJJP+26F, Leuwiliang, Bogor Regency, West Java 16640 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,, Bogor ,,,,,,,,,
AYAM GEPREK BONTONGOR,,,phone:tel:085810539497, 10AM to 8PM,,"-6.5643789, 106.6065947",https://www.google.com/maps/place/AYAM+GEPREK+BONTONGOR/data=!4m7!3m6!1s0x2e69d9b56a96f1c7:0x744d61c60eed7c1d!8m2!3d-6.5643789!4d106.6065947!16s%2Fg%2F11s379hvyq!19sChIJx_GWarXZaS4RHXztDsZhTXQ?authuser=0&hl=en&rclk=1,Brunch restaurant,"CJP4+6JX, Sibanteng, Leuwisadeng, Bogor Regency, West Java ",,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,,, Bogor ,,,,,,,,,
Warteg 234,,,,,,"-6.5726976, 106.6289939",https://www.google.com/maps/place/Warteg+234/data=!4m7!3m6!1s0x2e69d96002258c89:0x47a014cf458ecbcf!8m2!3d-6.5726976!4d106.6289939!16s%2Fg%2F11j4cms9n5!19sChIJiYwlAmDZaS4Rz8uORc8UoEc?authuser=0&hl=en&rclk=1,Tegal restaurant,"Leuwiliang, Bogor Regency, West Java ",,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only, Bogor ,,,,,,,,,
