title,sub_category,address,metadata,coordinate,link,review_point,review_total,open_hours,regency,contact_number,amenities,site,check_in,check_out,price_level,Service options,Accessibility,Offerings,Dining options,Atmosphere,Payments,Amenities,Crowd,Planning,Highlights
DAKUR MELE,Villa,"284H+WGC, Jl. Atek Lawanaman, Olilit, Tanimbar Sel., Kab. Kepulauan Tanimbar, Maluku ",,"-7.9926924, 131.3287671",https://www.google.com/maps/place/DAKUR+MELE/data=!4m7!3m6!1s0x2d27551cb089e447:0xc26cf11007ebcaad!8m2!3d-7.9926924!4d131.3287671!16s%2Fg%2F11mwx_4_lq!19sChIJR-SJsBxVJy0RrcrrBxDxbMI?authuser=0&hl=en&rclk=1,,, Open 24 hours,,phone:tel:082248190959,,,,,,,,,,,,,,,
Pattirosamal Familys,Villa,"W658+5J9, Etty, Seram Barat, West Seram, Maluku ",,"-3.0920844, 128.2166183",https://www.google.com/maps/place/Pattirosamal+Familys/data=!4m7!3m6!1s0x2d6c3b3e98d6eb43:0xa60e10aa69c64977!8m2!3d-3.0920844!4d128.2166183!16s%2Fg%2F11flk21gd3!19sChIJQ-vWmD47bC0Rd0nGaaoQDqY?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,
Kos cinta damai,Villa,"3877+7JW, Jl. Boediono, Lauran, Tanimbar Sel., Kab. Kepulauan Tanimbar, Maluku ",,"-7.9367635, 131.3140766",https://www.google.com/maps/place/Kos+cinta+damai/data=!4m7!3m6!1s0x2d27530eec1f0207:0x2caf1e9b8a83f20a!8m2!3d-7.9367635!4d131.3140766!16s%2Fg%2F11qycp1882!19sChIJBwIf7A5TJy0RCvKDipseryw?authuser=0&hl=en&rclk=1,4,1 review,,,,,,,,,,,,,,,,,,
S.S,Villa,"W5VR+PW2, Piru, Seram Barat, West Seram, Maluku ",,"-3.0557386, 128.1922686",https://www.google.com/maps/place/S.S/data=!4m7!3m6!1s0x2d6c254e36225bfd:0x51c0cccbeb11063e!8m2!3d-3.0557386!4d128.1922686!16s%2Fg%2F11tbdcxqqx!19sChIJ_VsiNk4lbC0RPgYR68vMwFE?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,
Pastori SeKla Piru,Villa,"X5F9+M5M, Jln Pendidikan, Piru, Seram Barat, West Seram, Maluku ",,"-3.0257907, 128.1679211",https://www.google.com/maps/place/Pastori+SeKla+Piru/data=!4m7!3m6!1s0x2d6c25e92b750517:0xfb906f3919a1c316!8m2!3d-3.0257907!4d128.1679211!16s%2Fg%2F11rzgr8cdv!19sChIJFwV1K-klbC0RFsOhGTlvkPs?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,
Harapan Indah Hotel,,"279W+JCR, Jl. Bhineka, Saumlaki, Tanimbar Sel., Kab. Kepulauan Tanimbar, Maluku ",,"-7.9808863, 131.2960021",https://www.google.com/maps/place/Harapan+Indah+Hotel/data=!4m10!3m9!1s0x2d2754f3168679cb:0x9c3b29c7f8b916cb!5m2!4m1!1i2!8m2!3d-7.9808863!4d131.2960021!16s%2Fg%2F11btww7q2f!19sChIJy3mGFvNUJy0Ryxa5-McpO5w?authuser=0&hl=en&rclk=1,4.3,365 reviews,,,phone:tel:091821019, Free Wi-Fi available  |  Pool unavailable  |  Laundry service available  |  Beach access available ,,,,,,,,,,,,,,
Kawi asih 3,Lodge,"Jl. Trans Seram, Waimital, Kec. Kairatu, Kabupaten Seram Bagian Barat, Maluku ",,"-3.3375269, 128.3593108",https://www.google.com/maps/place/Kawi+asih+3/data=!4m7!3m6!1s0x2d6c67daaa8c08fd:0x26216ccf381dc0b9!8m2!3d-3.3375269!4d128.3593108!16s%2Fg%2F11hh_h749b!19sChIJ_QiMqtpnbC0RucAdOM9sISY?authuser=0&hl=en&rclk=1,4.3,3 reviews,,  Seram Bagian Barat,phone:tel:081344531701,,,,,,,,,,,,,,,
Penginapan Waipirit Indah,Hotel,"M89W+CM2, Waipirit, Kairatu, West Seram, Maluku ",,"-3.3314808, 128.3466338",https://www.google.com/maps/place/Penginapan+Waipirit+Indah/data=!4m7!3m6!1s0x2d6c67c5158cd74f:0x383295e76a42639e!8m2!3d-3.3314808!4d128.3466338!16s%2Fg%2F11f4ljz_z6!19sChIJT9eMFcVnbC0RnmNCaueVMjg?authuser=0&hl=en&rclk=1,3.9,17 reviews,,,,,,,,,,,,,,,,,,
Villa Erja at Minggu Villas Kerobokan,,"Jl. Merta Agung Gg. Sekar Jepun No.4, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361 ",,"-8.6702595, 115.1664382",https://www.google.com/maps/place/Villa+Erja+at+Minggu+Villas+Kerobokan/data=!4m10!3m9!1s0x2dd247f4a28b4c8b:0x5461172c037139bc!5m2!4m1!1i2!8m2!3d-8.6702595!4d115.1664382!16s%2Fg%2F11jmxn2y0x!19sChIJi0yLovRH0i0RvDlxAywXYVQ?authuser=0&hl=en&rclk=1,5,1 review,,  Badung,, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Laundry service available ,http://www.mingguvillas.com/,,,,,,,,,,,,,
The Jimbaran Villa - Romantic One Bedroom Villa in Jimbaran Bali,,"Mimpi Resort, Jl. Bukit Permai No.88, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361 ",,"-8.7840948, 115.1580536",https://www.google.com/maps/place/The+Jimbaran+Villa+-+Romantic+One+Bedroom+Villa+in+Jimbaran+Bali/data=!4m10!3m9!1s0x2dd2458f1349e493:0x47d14e740d355494!5m2!4m1!1i2!8m2!3d-8.7840948!4d115.1580536!16s%2Fg%2F11glwyc1_r!19sChIJk-RJE49F0i0RlFQ1DXRO0Uc?authuser=0&hl=en&rclk=1,4.8,227 reviews,,  Badung,phone:tel:082122225088, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Kitchens in some rooms available  |  Airport shuttle available ,https://www.thejimbaranvilla.com/,,,,,,,,,,,,,
,,,,"-8.6847471, 115.1533311",https://www.google.com/maps/place/Villa+Midori/data=!4m7!3m6!1s0x2e69c97062c57351:0xce7174249a16ec5c!8m2!3d-6.6634774!4d106.8651955!16s%2Fg%2F11rnbwhy4m!19sChIJUXPFYnDJaS4RXOwWmiR0cc4?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,
Villa 5,Villa,"77V3+5Q3, Sanur Kauh, Denpasar Selatan, Denpasar City, Bali ",,"-8.7071101, 115.2544141",https://www.google.com/maps/place/Villa+5/data=!4m7!3m6!1s0x2dd2419eaf858f13:0xc63a3f50975729b7!8m2!3d-8.7071101!4d115.2544141!16s%2Fg%2F11qg9vhsvs!19sChIJE4-Fr55B0i0RtylXl1A_OsY?authuser=0&hl=en&rclk=1,,,, Denpasar ,,,,,,,,,,,,,,,,
Villa Seminyak Estate & Spa by Astadala,Villa,"Jl. Nakula Gg. Baik-Baik, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361 ","High-end hotel with refined, contemporary villas, plus a lagoon pool, a restaurant & a spa.","-8.6953792, 115.1713912",https://www.google.com/maps/place/Villa+Seminyak+Estate+%26+Spa+by+Astadala/data=!4m10!3m9!1s0x2dd23f61d8ada307:0x337841dda89b1d6b!5m2!4m1!1i2!8m2!3d-8.6953792!4d115.1713912!16s%2Fg%2F1thv1nsy!19sChIJB6Ot2GE_0i0Rax2bqN1BeDM?authuser=0&hl=en&rclk=1,4.4,656 reviews,,  Badung,phone:tel:0361735566,,https://www.villaseminyak.com/,,,,,,,,,,,,,
Villa Maluku,Villa,"Gg. Anggrek No.6, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361 ",,"-8.6638772, 115.1593522",https://www.google.com/maps/place/Villa+Maluku/data=!4m7!3m6!1s0x2dd247a2031eeee9:0xeea4aa3d36e4cca!8m2!3d-8.6638772!4d115.1593522!16s%2Fg%2F11rc6s210z!19sChIJ6e4eA6JH0i0Rykxu06NK6g4?authuser=0&hl=en&rclk=1,5,3 reviews,,  Badung,,,,,,,,,,,,,,,,
Villa Alice,,"Jl. Mertasari, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361 ",,"-8.6829323, 115.1608663",https://www.google.com/maps/place/Villa+Alice/data=!4m10!3m9!1s0x2dd2471714c31935:0x9f14b091c606ca3a!5m2!4m1!1i2!8m2!3d-8.6829323!4d115.1608663!16s%2Fg%2F11g02b858l!19sChIJNRnDFBdH0i0ROsoGxpGwFJ8?authuser=0&hl=en&rclk=1,4.8,16 reviews, Open 24 hours,  Badung,phone:tel:087862502426, Free Wi-Fi available  |  Free parking available  |  Outdoor pool available  |  Laundry service available ,http://villaalicebali.com/,,,,,,,,,,,,,
Villa Larissa,Villa,"Villa Larissa, Jalan Cendrawasih, Jl. Petitenget Kerobokan, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361 ",,"-8.6763143, 115.1528524",https://www.google.com/maps/place/Villa+Larissa/data=!4m7!3m6!1s0x2dd2472e7b2e003f:0xcd3c78e083d56aeb!8m2!3d-8.6763143!4d115.1528524!16s%2Fg%2F11q56ykt8k!19sChIJPwAuey5H0i0R62rVg-B4PM0?authuser=0&hl=en&rclk=1,5,3 reviews,,  Badung,phone:tel:081234554088,,http://www.sobaligood.com/,,,,,,,,,,,,,
Divine Villas Bali,,"Gg. Cempaka No.4, Kerobokan Kelod, Kec. Kuta, Kabupaten Badung, Bali 80361 ",,"-8.678672, 115.1513393",https://www.google.com/maps/place/Divine+Villas+Bali/data=!4m10!3m9!1s0x2dd2470d9544d843:0x5126214ea5b24a7!5m2!4m1!1i2!8m2!3d-8.678672!4d115.1513393!16s%2Fg%2F1hm6d094p!19sChIJQ9hElQ1H0i0RpyRb6hRiEgU?authuser=0&hl=en&rclk=1,4.7,3 reviews, Open 24 hours,  Badung,phone:tel:03618476652, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Laundry service available ,http://www.divinevillasbali.com/,,,,,,,,,,,,,
Terrace Villa Golf - Cisarua,,"Jl. Sindang Subur No.RT 03/13, Tugu Sel., Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16750 ",,"-6.6906989, 106.9534559",https://www.google.com/maps/place/Terrace+Villa+Golf+-+Cisarua/data=!4m10!3m9!1s0x2e69b7d69b1f6ba7:0xdf89abbb23c9a500!5m2!4m1!1i2!8m2!3d-6.6906989!4d106.9534559!16s%2Fg%2F1pzsd9qv5!19sChIJp2sfm9a3aS4RAKXJI7urid8?authuser=0&hl=en&rclk=1,4.4,529 reviews,,  Bogor,phone:tel:02518257616, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Indoor and outdoor pool available  |  Air-conditioned unavailable  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant unavailable  |  Airport shuttle unavailable  |  Smoke-free available ,https://terracevillagolf.wordpress.com/,,,,,,,,,,,,,
Aksari Villa Seminyak - Luxury Romantic Villa in Seminyak Bali,,"Jalan Sunset Road Gang Baik Baik II no 8, Seminyak, Kabupaten Badung, Bali 80361 ",,"-8.6966932, 115.1714858",https://www.google.com/maps/place/Aksari+Villa+Seminyak+-+Luxury+Romantic+Villa+in+Seminyak+Bali/data=!4m10!3m9!1s0x2dd246d89ccb0c79:0x5707b4542f65e41!5m2!4m1!1i2!8m2!3d-8.6966932!4d115.1714858!16s%2Fg%2F11cs9m6kpb!19sChIJeQzLnNhG0i0RQV72QkV7cAU?authuser=0&hl=en&rclk=1,4.7,571 reviews,,  Badung,phone:tel:082122225088, Free Wi-Fi available  |  Free breakfast available  |  Parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available  |  Hot tub available  |  Spa available ,https://www.aksariseminyak.com/,,,,,,,,,,,,,
The Bali Dream Villa Seminyak,,"Jl. Bidadari No.108X, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361 ",,"-8.6829682, 115.1706609",https://www.google.com/maps/place/The+Bali+Dream+Villa+Seminyak/data=!4m10!3m9!1s0x2dd2473ca614112b:0x7cd11d4d9761cc7e!5m2!4m1!1i2!8m2!3d-8.6829682!4d115.1706609!16s%2Fg%2F1tff0g5n!19sChIJKxEUpjxH0i0Rfsxhl00d0Xw?authuser=0&hl=en&rclk=1,4.3,447 reviews, Open 24 hours,  Badung,phone:tel:0361737788, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Kitchen in all rooms available  |  Airport shuttle available  |  Hot tub available  |  Spa available ,http://www.thebalidreamvilla.com/,,,,,,,,,,,,,
Villas in Seminyak Bali | The Wolas Villas and Spa,,"Jl. Yudistira No.18, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361 ",,"-8.6900191, 115.1742869",https://www.google.com/maps/place/Villas+in+Seminyak+Bali+%7C+The+Wolas+Villas+and+Spa/data=!4m7!3m6!1s0x2dd230339be20d91:0xa29f9705ecf75b4a!8m2!3d-8.6900191!4d115.1742869!16s%2Fg%2F1tdt37f4!19sChIJkQ3imzMw0i0RSlv37AWXn6I?authuser=0&hl=en&rclk=1,4.5,292 reviews, Open 24 hours,  Badung,phone:tel:0361734218, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly available  |  Room service available  |  Restaurant available  |  Airport shuttle available  |  Spa available  |  Bar available ,https://www.thewolasvillas.com/special-deals/,,,,,,,,,,,,,
Vision Villa Resort,,"Jl. Pantai Masceti, Medahan, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581 ",,"-8.5762894, 115.3381928",https://www.google.com/maps/place/Vision+Villa+Resort/data=!4m7!3m6!1s0x2dd21666b69c3a0f:0x1480c4053170c894!8m2!3d-8.5762894!4d115.3381928!16s%2Fg%2F1tf4hmlf!19sChIJDzqctmYW0i0RlMhwMQXEgBQ?authuser=0&hl=en&rclk=1,4.7,210 reviews,,  Gianyar,phone:tel:0361950720, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly available  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle available  |  Spa available ,http://visionvillaresort.com/,,,,,,,,,,,,,
The Bali Dream Suite Villa Seminyak,,"Jl. Dewi Saraswati III, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361 ",,"-8.686585, 115.17339",https://www.google.com/maps/place/The+Bali+Dream+Suite+Villa+Seminyak/data=!4m7!3m6!1s0x2dd247244f8dae4d:0xdf755d2e0ffd59d!8m2!3d-8.686585!4d115.17339!16s%2Fg%2F12cpmz81p!19sChIJTa6NTyRH0i0RndX_4NJV9w0?authuser=0&hl=en&rclk=1,4.4,210 reviews, Open 24 hours,  Badung,phone:tel:0361737788, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Restaurant available  |  Kitchen in all rooms available  |  Airport shuttle available  |  Hot tub available  |  Spa available  |  Bar available ,http://www.thebalidreamvilla.com/,,,,,,,,,,,,,
Villa Juan,Villa,"Unnamed Road, Cemagi, Mengwi, Badung Regency, Bali ",,"-8.6427467, 115.1097281",https://www.google.com/maps/place/Villa+Juan/data=!4m7!3m6!1s0x2dd239a0152cee07:0x3cc3c444ea4741b3!8m2!3d-8.6427467!4d115.1097281!16s%2Fg%2F11p59gqfr2!19sChIJB-4sFaA50i0Rs0FH6kTEwzw?authuser=0&hl=en&rclk=1,,,, Badung ,,,,,,,,,,,,,,,,
Villa Kayu Raja,,"Kerobokan, Jl. Lb. Sari Jl. Petitenget No.18, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361 ",,"-8.6766874, 115.1588431",https://www.google.com/maps/place/Villa+Kayu+Raja/data=!4m7!3m6!1s0x2dd24713c3126e3b:0x14e1a07cb629f0d8!8m2!3d-8.6766874!4d115.1588431!16s%2Fg%2F11h09lldq!19sChIJO24SwxNH0i0R2PAptnyg4RQ?authuser=0&hl=en&rclk=1,4.4,796 reviews,,  Badung,phone:tel:03614733776, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible unavailable  |  Indoor pool available  |  Air-conditioned available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Kitchen in all rooms available  |  Airport shuttle available  |  Hot tub available  |  Spa available  |  Fitness center available  |  Golf course available  |  Bar available  |  Smoke-free unavailable ,https://www.villakayuraja.com/,,,,,,,,,,,,,
Vila Heritagge Villas,Country house,"Jl. Braban No.18, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361 ",,"-8.6822018, 115.1593423",https://www.google.com/maps/place/Vila+Heritagge+Villas/data=!4m7!3m6!1s0x2dd2479b30cc78df:0x5b8d17c7c6e0b39a!8m2!3d-8.6822018!4d115.1593423!16s%2Fg%2F11gl0knz02!19sChIJ33jMMJtH0i0RmrPgxscXjVs?authuser=0&hl=en&rclk=1,,,,  Badung,,,,,,,,,,,,,,,,
Villa Dago Pakar,,"Jl. Dago Pakar Permai VII No.50-74, Mekarsaluyu, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198 ",,"-6.8667794, 107.6395868",https://www.google.com/maps/place/Villa+Dago+Pakar/data=!4m7!3m6!1s0x2e68e7168cef5dbf:0x8f16a7c049796c0a!8m2!3d-6.8667794!4d107.6395868!16s%2Fg%2F11clkrsk_l!19sChIJv13vjBbnaC4RCmx5ScCnFo8?authuser=0&hl=en&rclk=1,4.4,118 reviews,,  Bandung,phone:tel:081323961402, Free Wi-Fi available  |  Outdoor pool available  |  Kid-friendly available  |  Airport shuttle available ,,,,,,,,,,,,,,
The Satya Villa,,"Jl. Katik Lantang, Singakerta, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571 ",,"-8.5159412, 115.2537347",https://www.google.com/maps/place/The+Satya+Villa/data=!4m7!3m6!1s0x2dd23dc35da4b75b:0xd77932b7fb6c7dc3!8m2!3d-8.5159412!4d115.2537347!16s%2Fg%2F11fn9vkfzt!19sChIJW7ekXcM90i0Rw31s-7cyedc?authuser=0&hl=en&rclk=1,4.8,41 reviews,,  Gianyar,phone:tel:085822725131, Free Wi-Fi available  |  Free breakfast available  |  Parking unavailable  |  Accessible unavailable  |  Outdoor pool available  |  Air-conditioned available  |  Pet-friendly unavailable  |  Room service available  |  Restaurant unavailable  |  Kitchen in all rooms available  |  Airport shuttle available  |  Hot tub available  |  Fitness center unavailable  |  Smoke-free available ,https://the-satya-villa.business.site/?utm_source=gmb&utm_medium=referral,,,,,,,,,,,,,
Villa Semangat,Villa,"G76H+C73, Tegallalang, Gianyar Regency, Bali 80552 ",,"-8.4889801, 115.2781736",https://www.google.com/maps/place/Villa+Semangat/data=!4m7!3m6!1s0x2dd23de3b8437beb:0x62d437e7680d1c61!8m2!3d-8.4889801!4d115.2781736!16s%2Fg%2F11td0nycvj!19sChIJ63tDuOM90i0RYRwNaOc31GI?authuser=0&hl=en&rclk=1,5,1 review,, Gianyar ,,,,,,,,,,,,,,,,
Iken House,Villa,"JXM7+MF, Atiahu, Werinama, East Seram, Maluku ",,"-3.3657458, 129.9636695",https://www.google.com/maps/place/Iken+House/data=!4m7!3m6!1s0x2d6a7feaf799942b:0xbe159baff314436!8m2!3d-3.3657458!4d129.9636695!16s%2Fg%2F11pzhcqz0n!19sChIJK5SZ9-p_ai0RNkQx_7pZ4Qs?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,
Vila Selva,Villa,"VFJJ+WRR, Bula, East Seram, Maluku ",,"-3.117643, 130.482019",https://www.google.com/maps/place/Vila+Selva/data=!4m7!3m6!1s0x2d41a37f5848b8a1:0x19031f7b75b99f22!8m2!3d-3.117643!4d130.482019!16s%2Fg%2F11n2dzz8vy!19sChIJobhIWH-jQS0RIp-5dXsfAxk?authuser=0&hl=en&rclk=1,5,2 reviews,,,,,,,,,,,,,,,,,,
Hasna Ma'mur Familly House,Villa,"MQFH+FXM, Laimu, Telutih, Central Maluku Regency, Maluku ",,"-3.3262837, 129.7799093",https://www.google.com/maps/place/Hasna+Ma'mur+Familly+House/data=!4m7!3m6!1s0x2d6a63f0e0e86877:0x37fc2c216ec4537e!8m2!3d-3.3262837!4d129.7799093!16s%2Fg%2F11tjckg8wc!19sChIJd2jo4PBjai0RflPEbiEs_Dc?authuser=0&hl=en&rclk=1,,,, Central Maluku ,,,,,,,,,,,,,,,,
Rumah kisahi tamamala,Villa,"MQFH+89, Laimu, Telutih, Central Maluku Regency, Maluku ",,"-3.3266606, 129.7783966",https://www.google.com/maps/place/Rumah+kisahi+tamamala/data=!4m7!3m6!1s0x2d6a631cc1a100c1:0x782a066d3505b542!8m2!3d-3.3266606!4d129.7783966!16s%2Fg%2F11sldsb3td!19sChIJwQChwRxjai0RQrUFNW0GKng?authuser=0&hl=en&rclk=1,,,, Central Maluku ,,,,,,,,,,,,,,,,
Kos mama yoyo,Villa,"753X+P59, Lurang, Wetar Utara, Maluku Barat Daya Regency, Maluku ",,"-7.7457034, 126.1979764",https://www.google.com/maps/place/Kos+mama+yoyo/data=!4m7!3m6!1s0x2d03c1901fd92995:0xdaf62e7b97d4b968!8m2!3d-7.7457034!4d126.1979764!16s%2Fg%2F11tk06tcl6!19sChIJlSnZH5DBAy0RaLnUl3su9to?authuser=0&hl=en&rclk=1,,,, Maluku Barat Daya ,,,,,,,,,,,,,,,,
Kos mama yoyo,Villa,"88CQ+4X5, Uhak, Pp. Wetar, Maluku Barat Daya Regency, Maluku ",,"-7.6797307, 126.3399941",https://www.google.com/maps/place/Kos+mama+yoyo/data=!4m7!3m6!1s0x2d0395dfb0d04bcb:0xa80ef6bfe204f3e3!8m2!3d-7.6797307!4d126.3399941!16s%2Fg%2F11sbt_81pz!19sChIJy0vQsN-VAy0R4_ME4r_2Dqg?authuser=0&hl=en&rclk=1,,,, Maluku Barat Daya ,,,,,,,,,,,,,,,,
