title,review_point,review_total,address,site,contact_number,check_in,check_out,metadata,amenities,coordinate,regency,link,sub_category,price_level,open_hours,about
Timothy House,4.8,6 reviews,"Jl. Berbah - Kalasan, Jarakan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55573 ",,phone:tel:087768888313,,,, Free Wi-Fi available  |  Free parking available  |  Pool unavailable  |  Kitchens in some rooms available  |  Fitness center unavailable ,"-7.783351, 110.4640505",  Sleman,https://www.google.com/maps/place/Timothy+House/data=!4m10!3m9!1s0x2e7a5b0de491a973:0x188c70140cf26380!5m2!4m1!1i2!8m2!3d-7.783351!4d110.4640505!16s%2Fg%2F11t546npkp!19sChIJc6mR5A1bei4RgGPyDBRwjBg?authuser=0&hl=en&rclk=1,,,,
SB HOTEL,4.4,88 reviews,"39HQ+PP6, Jl. Ternate No.31, Bojongbata, Kec. Pemalang, Kabupaten Pemalang, Jawa Tengah 52319 ",,phone:tel:02843291086,,,, Free Wi-Fi available  |  Pool unavailable ,"-6.9206075, 109.3892952",  Pemalang,https://www.google.com/maps/place/SB+HOTEL/data=!4m10!3m9!1s0x2e6fdb803ecc6c51:0xe507cf6d651f468f!5m2!4m1!1i2!8m2!3d-6.9206075!4d109.3892952!16s%2Fg%2F11r9v8gb0n!19sChIJUWzMPoDbby4Rj0YfZW3PB-U?authuser=0&hl=en&rclk=1,,,,
OYO 90844 Guesthouse Parung Asri Syariah,2.6,27 reviews,"Traditional Market Bogor, 4, Warujaya, Parung, Bogor Regency, West Java 16330 ",,phone:tel:02129707601,,,, Free Wi-Fi available  |  Free parking available  |  Pool unavailable ,"-6.4198589, 106.7157447", Bogor ,https://www.google.com/maps/place/OYO+90844+Guesthouse+Parung+Asri+Syariah/data=!4m10!3m9!1s0x2e69e62e99fe901b:0xc3911de3c17d8d60!5m2!4m1!1i2!8m2!3d-6.4198589!4d106.7157447!16s%2Fg%2F11rtcrbcvm!19sChIJG5D-mS7maS4RYI19weMdkcM?authuser=0&hl=en&rclk=1,,,,
SPOT ON 2488 Villa Tirta Melati Syariah,4.2,26 reviews,"152, Gg. Soun No.147, Banjar, Kec. Banjar, Jawa Barat, 46311 ",https://www.oyorooms.com/ID/90920/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_CIA005&latitude=-7.37112&longitude=108.53443&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available ,"-7.3711157, 108.5344292",,https://www.google.com/maps/place/SPOT+ON+2488+Villa+Tirta+Melati+Syariah/data=!4m10!3m9!1s0x2e6f63c171e5278f:0x674ed4b1d1641995!5m2!4m1!1i2!8m2!3d-7.3711157!4d108.5344292!16s%2Fg%2F11j22sggqd!19sChIJjyflccFjby4RlRlk0bHUTmc?authuser=0&hl=en&rclk=1,,,,
Pondok Inspirasi Minggir,4.1,196 reviews,"Jl. Daratan 3 Jl. Daratan 1, Daratan III, Sendangarum, Kec. Minggir, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55562 ",,phone:tel:081227976938,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Airport shuttle available ,"-7.7428633, 110.2542407",  Sleman,https://www.google.com/maps/place/Pondok+Inspirasi+Minggir/data=!4m10!3m9!1s0x2e7af7f4bb6ad427:0x7e434124309d9180!5m2!4m1!1i2!8m2!3d-7.7428633!4d110.2542407!16s%2Fg%2F11h04kpygf!19sChIJJ9Rqu_T3ei4RgJGdMCRBQ34?authuser=0&hl=en&rclk=1,,,,
Edsamara Hotel Semarang-Lawang Sewu,4.7,18 reviews,"Jl. Mgr Sugiyopranoto No.96-98a, RT./RW/RW.01/01, Bulustalan, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50246 ",http://www.edsamarahotel.com/,phone:tel:081325160017,,,, Free Wi-Fi available  |  Pool unavailable ,"-6.9818198, 110.4030044",  Semarang,https://www.google.com/maps/place/Edsamara+Hotel+Semarang-Lawang+Sewu/data=!4m10!3m9!1s0x2e708b789609dccb:0x4381884dc713dee7!5m2!4m1!1i2!8m2!3d-6.9818198!4d110.4030044!16s%2Fg%2F11swf7m44m!19sChIJy9wJlniLcC4R594Tx02IgUM?authuser=0&hl=en&rclk=1,,,,
Hi Hotel Senen,4.5,"1,197 reviews","Jl. Pasar Senen No.3, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410 ",,phone:tel:0214219999,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable ,"-6.1758053, 106.8419687",  Jakarta Pusat,https://www.google.com/maps/place/Hi+Hotel+Senen/data=!4m10!3m9!1s0x2e69f5b27e604d65:0x91e4c3ada7a4dd92!5m2!4m1!1i2!8m2!3d-6.1758053!4d106.8419687!16s%2Fg%2F11fmfzcc8q!19sChIJZU1gfrL1aS4Rkt2kp63D5JE?authuser=0&hl=en&rclk=1,,,,
Soll Marina Hotel,4.4,"4,218 reviews","Jl. Raya Serpong, Pakualam, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15320 ",http://www.sollmarinahotel.com/,phone:tel:081212706060,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable  |  Spa available ,"-6.2366477, 106.6448869",  Tangerang Selatan,https://www.google.com/maps/place/Soll+Marina+Hotel/data=!4m10!3m9!1s0x2e69fbeb47ea5803:0xd98b4e187671ec96!5m2!4m1!1i2!8m2!3d-6.2366477!4d106.6448869!16s%2Fg%2F1pp2twc6s!19sChIJA1jqR-v7aS4RluxxdhhOi9k?authuser=0&hl=en&rclk=1,,,,
Yusra Inn Hotel Bekasi,4.4,359 reviews,"Jl. Raya Pekayon No.1, RT.004/RW.001, Pekayon Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17148 ",http://www.yusrainnhotels.com/,phone:tel:02182410000,,,, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Air-conditioned available  |  Business center unavailable  |  Pet-friendly unavailable  |  Room service available  |  Restaurant available  |  Airport shuttle available  |  Spa available  |  Fitness center unavailable  |  Smoke-free available ,"-6.2569804, 106.9904348",  Bks,https://www.google.com/maps/place/Yusra+Inn+Hotel+Bekasi/data=!4m10!3m9!1s0x2e698d89d2e3ae4b:0x4fea2da441974a4d!5m2!4m1!1i2!8m2!3d-6.2569804!4d106.9904348!16s%2Fg%2F11j31ytst_!19sChIJS67j0omNaS4RTUqXQaQt6k8?authuser=0&hl=en&rclk=1,,,,
Century Park,4.5,"10,811 reviews","Century park hotel, Jl. Pintu Satu Senayan, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 ",http://www.atletcentury.com/,phone:tel:0215712041,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Business center available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable  |  Spa available  |  Fitness center available  |  Bar available ,"-6.2231143, 106.8030616",  Jakarta Pusat,https://www.google.com/maps/place/Century+Park/data=!4m10!3m9!1s0x2e69f14c2be203fd:0x4f4a14a3933939f5!5m2!4m1!1i2!8m2!3d-6.2231143!4d106.8030616!16s%2Fg%2F1yhbl7c9l!19sChIJ_QPiK0zxaS4R9Tk5k6MUSk8?authuser=0&hl=en&rclk=1,,,,
Hotel NJD,4.5,186 reviews,"Jl. Ciburial, Tugu Utara, Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16750 ",https://hotel-njd.business.site/?utm_source=gmb&utm_medium=referral,phone:tel:02518261943,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible available  |  Pool unavailable  |  Air-conditioned unavailable  |  Pet-friendly unavailable  |  Restaurant unavailable  |  Airport shuttle unavailable ,"-6.6831349, 106.9565592",  Bogor,https://www.google.com/maps/place/Hotel+NJD/data=!4m10!3m9!1s0x2e69b708c1e14615:0xa926e5603523b5d3!5m2!4m1!1i2!8m2!3d-6.6831349!4d106.9565592!16s%2Fg%2F11jbkc7s8m!19sChIJFUbhwQi3aS4R07UjNWDlJqk?authuser=0&hl=en&rclk=1,,,,
Swiss-Belresort Dago Heritage,4.6,"6,530 reviews","Jl. Lapangan Golf Dago Atas No.78, Cigadung, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40135 ",https://www.swiss-belhotel.com/en-gb/swiss-belresort-dago-heritage,phone:tel:02220459999,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Laundry service available  |  Room service available  |  Restaurant available  |  Airport shuttle available  |  Spa available  |  Fitness center available ,"-6.8668565, 107.6252724",  Bandung,https://www.google.com/maps/place/Swiss-Belresort+Dago+Heritage/data=!4m10!3m9!1s0x2e68e7c03708e845:0x7a97251676356929!5m2!4m1!1i2!8m2!3d-6.8668565!4d107.6252724!16s%2Fg%2F11gwmjd4vx!19sChIJRegIN8DnaC4RKWk1dhYll3o?authuser=0&hl=en&rclk=1,,,,
SPOT ON 91064 Wisma Lec Syariah,4.3,7 reviews,"kp.tajug, ciawitali, garut Jawa Barat, indonesia Terminal Guntur, Garut Kota, Garut Regency, West Java 44151 ",https://www.oyorooms.com/h/175493?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_GRT020&latitude=-7.19969&longitude=107.9076&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Pool unavailable  |  Fitness center unavailable ,"-7.1996851, 107.9076453", Garut ,https://www.google.com/maps/place/SPOT+ON+91064+Wisma+Lec+Syariah/data=!4m10!3m9!1s0x2e68b142e15c4a47:0xf3218ebcb43f6453!5m2!4m1!1i2!8m2!3d-7.1996851!4d107.9076453!16s%2Fg%2F11t0lzrc9z!19sChIJR0pc4UKxaC4RU2Q_tLyOIfM?authuser=0&hl=en&rclk=1,,,,
OYO Homes 91098 Desa Wisata Tanjung,3.0,2 reviews,"79WG+8XP, Bantaran, Donoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581 ",,phone:tel:08041040040,,,, Free Wi-Fi available  |  Pool unavailable  |  Fitness center unavailable ,"-7.704165, 110.377468",  Sleman,https://www.google.com/maps/place/OYO+Homes+91098+Desa+Wisata+Tanjung/data=!4m10!3m9!1s0x2e7a5f2816055e51:0x4e669a2a28c67f85!5m2!4m1!1i2!8m2!3d-7.704165!4d110.377468!16s%2Fg%2F11tcvc99qf!19sChIJUV4FFihfei4RhX_GKCqaZk4?authuser=0&hl=en&rclk=1,,,,
Hotel Daily Inn Bandung,4.4,345 reviews,"Jl. Dalem Kaum No.36, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251 ",https://dailyinn.id/,phone:tel:0895323453298,,,, Free Wi-Fi available  |  Paid breakfast available  |  Parking unavailable  |  Pool available  |  Laundry service available  |  Restaurant available ,"-6.922392, 107.6054988",  Bandung,https://www.google.com/maps/place/Hotel+Daily+Inn+Bandung/data=!4m10!3m9!1s0x2e68e70496a19605:0xaf1336662bf78039!5m2!4m1!1i2!8m2!3d-6.922392!4d107.6054988!16s%2Fg%2F11nfn_1q55!19sChIJBZahlgTnaC4ROYD3K2Y2E68?authuser=0&hl=en&rclk=1,,,,
OYO Homes 91153 Desa Wisata Kawasen,5.0,2 reviews,"Langkapsari, Jawa Barat, Indonesia banjarsari, kayu putih, pantai pangandaran Langkapsari, Jawa Barat, Indonesia banjarsari, kayu putih, pantai pangandaran, Ciamis Regency, West Java 46383 ",https://www.oyorooms.com/h/176527?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_CIA009&latitude=-7.51355&longitude=108.6206&locale=id,phone:tel:02129707601,,,,,"-7.5135481, 108.6206294", Ciamis ,https://www.google.com/maps/place/OYO+Homes+91153+Desa+Wisata+Kawasen/data=!4m10!3m9!1s0x2e658570222a0793:0x9136cd055394e477!5m2!4m1!1i2!8m2!3d-7.5135481!4d108.6206294!16s%2Fg%2F11s2hwwh67!19sChIJkwcqInCFZS4Rd-SUUwXNNpE?authuser=0&hl=en&rclk=1,Hotel,,,
Ros-In Hotel Yogyakarta,4.4,"3,956 reviews","Jl. Ringroad Selatan, Druwo, Bangunharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188 ",http://www.rosinhoteljogja.com/,phone:tel:0274384543,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Hot tub available  |  Spa available  |  Fitness center available ,"-7.8356629, 110.3679788",  Bantul,https://www.google.com/maps/place/Ros-In+Hotel+Yogyakarta/data=!4m10!3m9!1s0x2e7a57ad651e4885:0x6bbf530298ce16c6!5m2!4m1!1i2!8m2!3d-7.8356629!4d110.3679788!16s%2Fg%2F1tnl3pz5!19sChIJhUgeZa1Xei4RxhbOmAJTv2s?authuser=0&hl=en&rclk=1,,,,
SPOT ON 90159 Puri Asoka Guest House,3.9,152 reviews,"Jl. Semarang - Surakarta Gang. Brantas, Krajan, Bawen, Kec. Bawen, Kota Semarang, Jawa Tengah 50661 ",https://www.oyorooms.com/h/108245/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_SRG085&latitude=-7.2446627&longitude=110.4360189&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Pool unavailable ,"-7.245588, 110.4360981",  Semarang,https://www.google.com/maps/place/SPOT+ON+90159+Puri+Asoka+Guest+House/data=!4m10!3m9!1s0x2e7083db6c34412f:0x1088cee0d720b29a!5m2!4m1!1i2!8m2!3d-7.245588!4d110.4360981!16s%2Fg%2F11b7xvsk40!19sChIJL0E0bNuDcC4RmrIg1-DOiBA?authuser=0&hl=en&rclk=1,,,,
Penginapan Semarang Citras,5.0,13 reviews,"Jl. Sriwijaya No.5B, Tegalsari, Kec. Candisari, Kota Semarang, Jawa Tengah 50614 ",https://penginapan-semarang-citras.business.site/?utm_source=gmb&utm_medium=referral,phone:tel:08990665743,,,, Free Wi-Fi available  |  Free parking available  |  Air-conditioned available  |  Kitchens in some rooms available  |  Airport shuttle unavailable ,"-6.9986077, 110.4207734",  Semarang,https://www.google.com/maps/place/Penginapan+Semarang+Citras/data=!4m10!3m9!1s0x2e708bdd853038ab:0xaab8eff273c2cf3a!5m2!4m1!1i2!8m2!3d-6.9986077!4d110.4207734!16s%2Fg%2F11sb89b2wj!19sChIJqzgwhd2LcC4ROs_Cc_LvuKo?authuser=0&hl=en&rclk=1,,,,
Capital O 1662 Ole Suites Hotel,4.7,41 reviews,"3 Jl. Babakan Madang No.99, Babakan Madang, Kec. Babakan Madang, Sentul, Selatan, West Java 16810 ",https://www.oyorooms.com/id/hotels-in-Bogor/?utm_source=Google_gmb_so_ID&utm_medium=Organic&utm_campaign=ID_BGR015&locale=id,phone:tel:02129707601,,,, Free Wi-Fi available  |  Breakfast available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Airport shuttle available ,"-6.5683118, 106.8650625",,https://www.google.com/maps/place/Capital+O+1662+Ole+Suites+Hotel/data=!4m10!3m9!1s0x2e69c7de4dadd7c3:0x9b20017377219f0!5m2!4m1!1i2!8m2!3d-6.5683118!4d106.8650625!16s%2Fg%2F11j10qycjq!19sChIJw9etTd7HaS4R8BlyNxcAsgk?authuser=0&hl=en&rclk=1,,,,
SPOT ON 2027 Putri Guest House Syariah,3.8,248 reviews,"1 Jl. Nasional 1, Cimohong, Kec. Bulakamba, Jawa Tengah, Brebes Regency, Central Java 52253 ",https://www.oyorooms.com/h/86774/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_BRE001&latitude=-6.87176314452&longitude=108.899660446&locale=id,phone:tel:02129707601,,,, Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Pet-friendly unavailable  |  Airport shuttle unavailable ,"-6.8719732, 108.8997325", Brebes ,https://www.google.com/maps/place/SPOT+ON+2027+Putri+Guest+House+Syariah/data=!4m10!3m9!1s0x2e6fa9eb183814f9:0xa2b7615691a279ef!5m2!4m1!1i2!8m2!3d-6.8719732!4d108.8997325!16s%2Fg%2F11h8j4tl_8!19sChIJ-RQ4GOupby4R73mikVZht6I?authuser=0&hl=en&rclk=1,,,,
P Hotel,4.2,518 reviews,"Jl. Pramuka No.14, RW.7, Rawasari, Cempaka Putih, Central Jakarta City, Jakarta 10570 ",https://p-hotel-jakarta.business.site/,phone:tel:089693840909,,,, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable ,"-6.1921169, 106.8672601", Central Jakarta ,https://www.google.com/maps/place/P+Hotel/data=!4m10!3m9!1s0x2e69f4f5b117d621:0x233d7d4553e1d892!5m2!4m1!1i2!8m2!3d-6.1921169!4d106.8672601!16s%2Fg%2F11f0wk7m1j!19sChIJIdYXsfX0aS4RktjhU0V9PSM?authuser=0&hl=en&rclk=1,,,,
Upscale Suites,4.3,411 reviews,"Jl. Bek Murad, RT.1/RW.1, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940 ",,phone:tel:02122531282,,,, Free Wi-Fi available  |  Free parking available  |  Accessible unavailable  |  Pool unavailable  |  Air-conditioned available  |  Business center unavailable  |  Pet-friendly unavailable  |  Kid-friendly available  |  Airport shuttle unavailable  |  Fitness center unavailable ,"-6.2163001, 106.8194099",  Jakarta Selatan,https://www.google.com/maps/place/Upscale+Suites/data=!4m10!3m9!1s0x2e69f4006ae76b09:0x7e229c81b405c23!5m2!4m1!1i2!8m2!3d-6.2163001!4d106.8194099!16s%2Fg%2F11c48mc8_j!19sChIJCWvnagD0aS4RI1xAG8gp4gc?authuser=0&hl=en&rclk=1,,,,
OYO Home 91156 Eco Tourism Big Farmer Desa Kertawangi Syariah,5.0,1 review,"Jl. Kolonel Masturi Kampung Cibadak No.339, Kertawangi, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551 ",,phone:tel:02129707601,,,, Free Wi-Fi available  |  Pool unavailable  |  Fitness center unavailable ,"-6.8031308, 107.5698165",  Bandung Barat,https://www.google.com/maps/place/OYO+Home+91156+Eco+Tourism+Big+Farmer+Desa+Kertawangi+Syariah/data=!4m10!3m9!1s0x2e68e22ba293ffff:0x69892207ed54c71e!5m2!4m1!1i2!8m2!3d-6.8031308!4d107.5698165!16s%2Fg%2F11sw_v5_1x!19sChIJ__-ToiviaC4RHsdU7QciiWk?authuser=0&hl=en&rclk=1,,,,
