title,review_point,review_total,sub_category,address,contact_number,open_hours,Service options,Offerings,Dining options,Amenities,Atmosphere,Crowd,Payments,coordinate,link,Accessibility,regency,price_level,site,Planning,short_description,Highlights,check_in,From the business,metadata,Popular for,check_out,amenities
Warung Joko Tingkir,4.6,13 reviews,Restaurant,"VFXM+WW8, Bula, East Seram, Maluku ",, 9AM to 10PM,Takeaway | Dine-in,Coffee | Halal food,Lunch | Dinner,Good for kids,Casual | Cosy,Groups,Cash only,"-3.100223, 130.4848266",https://www.google.com/maps/place/Warung+Joko+Tingkir/data=!4m7!3m6!1s0x2d41a30e8886de6f:0x9888925e42be6c0e!8m2!3d-3.100223!4d130.4848266!16s%2Fg%2F11gxzbgj0w!19sChIJb96GiA6jQS0RDmy-Ql6SiJg?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance,,,,,,,,,,,,
RUMAH MAKAN PELANGI,4.6,16 reviews,Restaurant,"VFWV+CQ2, Bula, East Seram, Maluku ",, 9AM to 5PM,Takeaway | Dine-in,Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-3.1039752, 130.4943858",https://www.google.com/maps/place/RUMAH+MAKAN+PELANGI/data=!4m7!3m6!1s0x2d41a36dc95e4725:0xe7e8eee26ef461e2!8m2!3d-3.1039752!4d130.4943858!16s%2Fg%2F11j3q386fz!19sChIJJUdeyW2jQS0R4mH0buLu6Oc?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,
Warung Kresna,,,Restaurant,"Bula Rd, Bula, East Seram, Maluku ",phone:tel:085235678484, 10AM to 9PM,Takeaway | Dine-in | Delivery,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-3.10129, 130.4869222",https://www.google.com/maps/place/Warung+Kresna/data=!4m7!3m6!1s0x2d41a3bf57685b47:0x53193f5550a9be65!8m2!3d-3.10129!4d130.4869222!16s%2Fg%2F11hh1pndvr!19sChIJR1toV7-jQS0RZb6pUFU_GVM?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,
Rumah Makan Soleha,4.0,21 reviews,Padang restaurant,"VFWQ+GQW, Jl. A. Tamaela, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku ",phone:tel:081243460269, 10AM to 7PM,,,,,,,,"-3.1036315, 130.4894404",https://www.google.com/maps/place/Rumah+Makan+Soleha/data=!4m7!3m6!1s0x2d41a2a31b768665:0xb12ed417ee03a3fe!8m2!3d-3.1036315!4d130.4894404!16s%2Fg%2F11h9y7ryl7!19sChIJZYZ2G6OiQS0R_qMD7hfULrE?authuser=0&hl=en&rclk=1,,  Seram Bagian Timur,,,,,,,,,,,
Restoran Seafood 88 Poka,,,Seafood restaurant,"Q46W+J46, Atiahu, Werinama, East Seram, Maluku ",phone:tel:082397929174,,,,,,,,,"-3.2384616, 130.1452734",https://www.google.com/maps/place/Restoran+Seafood+88+Poka/data=!4m7!3m6!1s0x2d41c55555555555:0x5eb3f2c9ba59dbb2!8m2!3d-3.2384616!4d130.1452734!16s%2Fg%2F11ggb6zw59!19sChIJVVVVVVXFQS0RsttZusnys14?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,
Arema Rumah Makan,,,Padang restaurant,"Q46W+J4X, JL. Leo Wattimena Passo, Atiahu, Werinama, Kabupaten Seram Bagian Timur, Maluku ",phone:tel:0911361370,,,Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,"-3.238383, 130.145366",https://www.google.com/maps/place/Arema+Rumah+Makan/data=!4m7!3m6!1s0x2d41c55555143a65:0xd93bbcd372a096a0!8m2!3d-3.238383!4d130.145366!16s%2Fg%2F1pzvh4g1l!19sChIJZToUVVXFQS0RoJagctO8O9k?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance,  Seram Bagian Timur,,,,,,,,,,,
Warung Tulehu,5.0,1 review,Restaurant,"VFWQ+GXW, Jl. A. Tamaela, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku ",,,Takeaway | Dine-in,Coffee | Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,"-3.1036301, 130.4899504",https://www.google.com/maps/place/Warung+Tulehu/data=!4m7!3m6!1s0x2d41a349e3d664d5:0xb414ebd5015c6b10!8m2!3d-3.1036301!4d130.4899504!16s%2Fg%2F11gxx71jbk!19sChIJ1WTW40mjQS0REGtcAdXrFLQ?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance,  Seram Bagian Timur,,,,,,,,,,,
Rumah Makan Para Para,4.1,9 reviews,Restaurant,"VFXP+PC5, Bula Rd, Bula, East Seram, Maluku ",phone:tel:082238123967,,,,,,,,,"-3.1007393, 130.4861151",https://www.google.com/maps/place/Rumah+Makan+Para+Para/data=!4m7!3m6!1s0x2d41a33642115789:0x89aeda9faee211ec!8m2!3d-3.1007393!4d130.4861151!16s%2Fg%2F11h90x_t56!19sChIJiVcRQjajQS0R7BHirp_arok?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,
nel. Restaurant,4.4,806 reviews,Australian restaurant,"75 Wentworth Ave, Sydney NSW 2000, Australia ",phone:tel:+61292122206,,Kerbside pickup | Dine-in | Delivery | Takeaway,Alcohol | Beer | Cocktails | Coffee | Spirits | Wine,Lunch | Dinner | Dessert,Bar on site | Toilets,Cosy | Romantic | Upmarket,Groups,Debit cards | NFC mobile payments,"-33.8793573, 151.2093682",https://www.google.com/maps/place/nel.+Restaurant/data=!4m7!3m6!1s0x6b12ae22b243e41d:0x3a279ff7a204de5!8m2!3d-33.8793573!4d151.2093682!16s%2Fg%2F11b7fs7dfw!19sChIJHeRDsiKuEmsR5U0gev95ogM?authuser=0&hl=en&rclk=1,Wheelchair-accessible lift | Wheelchair-accessible car park | Wheelchair-accessible entrance,,$$$,http://nelrestaurant.com.au/,Reservations required | Accepts reservations,"Creative Modern Australian tasting menus & matching wines, offered in a vintage-chic space.",,,,,,,
Odette,4.7,742 reviews,Fine dining restaurant,"1 St Andrew's Rd, #01-04 National Gallery, Singapore 178957 ",phone:tel:+6563850498, Closed,,,,,,,,"1.2897067, 103.8514433",https://www.google.com/maps/place/Odette/data=!4m7!3m6!1s0x31da19a74fed486d:0x32964a71907ce024!8m2!3d1.2897067!4d103.8514433!16s%2Fg%2F11bwn8t504!19sChIJbUjtT6cZ2jERJOB8kHFKljI?authuser=0&hl=en&rclk=1,,,$$$$,http://odetterestaurant.com/,,,,,,,,,
Coto Makassar,4.0,78 reviews,South Sulawesi restaurant,"VFXQ+C77, Bula, East Seram, Maluku ",phone:tel:085243642006, 8 to 10AM,Takeaway | Dine-in,Coffee | Halal food,Breakfast | Lunch | Dinner,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-3.1014737, 130.4881739",https://www.google.com/maps/place/Coto+Makassar/data=!4m7!3m6!1s0x2d41a2a3e24936fd:0xe67a1d3ea5b54900!8m2!3d-3.1014737!4d130.4881739!16s%2Fg%2F11dfgwgq06!19sChIJ_TZJ4qOiQS0RAEm1pT4deuY?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating,,,,,,,,,,,,
Warung prasmanan makassar,3.0,1 review,Brunch restaurant,"VFWQ+668 depan dermaga sesar, Jln lintas seram, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku ",,,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,"-3.104452, 130.488088",https://www.google.com/maps/place/Warung+prasmanan+makassar/data=!4m7!3m6!1s0x2d41a3c8ff8adf53:0x8c6f6a4d92d478d6!8m2!3d-3.104452!4d130.488088!16s%2Fg%2F11s1s51__m!19sChIJU9-K_8ijQS0R1njUkk1qb4w?authuser=0&hl=en&rclk=1,,  Seram Bagian Timur,,,,,,,,,,,
Ayam Geprek,5.0,2 reviews,Chicken restaurant,"VFVQ+VXH, Bula, East Seram, Maluku ",,,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,"-3.1053118, 130.4899927",https://www.google.com/maps/place/Ayam+Geprek/data=!4m7!3m6!1s0x2d41a39991e5d2d7:0xbbc32aac78681756!8m2!3d-3.1053118!4d130.4899927!16s%2Fg%2F11k5dc_h3b!19sChIJ19LlkZmjQS0RVhdoeKwqw7s?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,
The Chairman Restaurant,4.4,515 reviews,Cantonese restaurant,"Hong Kong, Central, Wellington St, 198號3樓 ",phone:tel:+85225552202,"Thursday, 12 to 3PM, 6 to 10PM; Friday, 12 to 3PM, 6 to 10PM; Saturday, 12 to 3PM, 6 to 10PM; Sunday, 12 to 3PM, 6 to 10PM; Monday, 12 to 3PM, 6 to 10PM; Tuesday, 12 to 3PM, 6 to 10PM; Wednesday, 12 to 3PM, 6 to 10PM. ",,,,,,,,"22.2847896, 114.1529765",https://www.google.com/maps/place/The+Chairman+Restaurant/data=!4m7!3m6!1s0x3404007c63adc385:0x8321448dc386dbdf!8m2!3d22.2847896!4d114.1529765!16s%2Fg%2F1tfpxg8w!19sChIJhcOtY3wABDQR39uGw41EIYM?authuser=0&hl=en&rclk=1,,,$$$,http://www.thechairmangroup.com/,,,,,,,,,
Rumah Makan SRI WULAN,4.0,17 reviews,Padang restaurant,"VFXP+HW5, Bula, East Seram, Maluku ",phone:tel:081344617570,,Takeaway | Dine-in,Coffee | Halal food,Lunch,Toilets,Casual | Cosy,Groups,Cash only,"-3.1011244, 130.4873582",https://www.google.com/maps/place/Rumah+Makan+SRI+WULAN/data=!4m7!3m6!1s0x2d41a2a1553f6b0d:0x5aa12c62ca9ff073!8m2!3d-3.1011244!4d130.4873582!16s%2Fg%2F11hbhhc4gc!19sChIJDWs_VaGiQS0Rc_CfymIsoVo?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating,,,,,,,,,,,,
Nasi kuning,,,Diner,"Amar sekaru, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku ",phone:tel:081248663988,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,,Cash only,"-3.10968, 130.498505",https://www.google.com/maps/place/Nasi+kuning/data=!4m7!3m6!1s0x2d41a363906c1503:0x2e4158248d3c9712!8m2!3d-3.10968!4d130.498505!16s%2Fg%2F11ptw99w6p!19sChIJAxVskGOjQS0REpc8jSRYQS4?authuser=0&hl=en&rclk=1,,  Seram Bagian Timur,,,,,,,,,,,
La Plancha Bali,4.4,"10,312 reviews",Bar,"Jalan Mesari Beach, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361 ",phone:tel:087861416310, 7:30AM to 11PM,,,,,,,,"-8.6945086, 115.1597708",https://www.google.com/maps/place/La+Plancha+Bali/data=!4m7!3m6!1s0x2dd246b8b85381f3:0xca9c48b66a2bb3d6!8m2!3d-8.6945086!4d115.1597708!16s%2Fg%2F11gzgczmh!19sChIJ84FTuLhG0i0R1rMrarZInMo?authuser=0&hl=en&rclk=1,,  Badung,$$,https://laplancha-bali.com/,,,,,,,,,
Nasi Kuning Gibran,,,Diner,"VFXQ+C5V, Bula Rd, Bula, East Seram, Maluku ",,,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,,Cash only,"-3.1013873, 130.4879226",https://www.google.com/maps/place/Nasi+Kuning+Gibran/data=!4m7!3m6!1s0x2d41a37397df7115:0xf5557fbe58e6240!8m2!3d-3.1013873!4d130.4879226!16s%2Fg%2F11jp08s66p!19sChIJFXHfl3OjQS0RQGKO5ftXVQ8?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance,,,,,,,,,,,,
RM MUTIARA MASAKAN PADANG,,,Padang restaurant,"VFVQ+6Q7, Bula, East Seram, Maluku ",,,Takeaway | Dine-in,Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,"-3.1069681, 130.4894071",https://www.google.com/maps/place/RM+MUTIARA+MASAKAN+PADANG/data=!4m7!3m6!1s0x2d41a3c261a06f89:0x394d5cda8c04f345!8m2!3d-3.1069681!4d130.4894071!16s%2Fg%2F11k2fvs28r!19sChIJiW-gYcKjQS0RRfMEjNpcTTk?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance,,,,,,,,,,,,
Feel Myanmar Restaurant (Pyidaungzu Yeiktha Street),3.9,"2,507 reviews",Burmese restaurant,"No. 124 Pyidaungzu Yeiktha Street, Yangon, Myanmar (Burma) ",phone:tel:+95973048783, 6AM to 8PM,Outdoor seating | No-contact delivery | Delivery | Takeaway | Dine-in,Beer | Coffee | Healthy options | Late-night food | Organic dishes | Quick bite | Small plates | Vegetarian options,Breakfast | Brunch | Lunch | Dinner | Catering | Dessert,Good for kids | High chairs | Toilets,Casual | Cosy,Groups,,"16.7906581, 96.143712",https://www.google.com/maps/place/Feel+Myanmar+Restaurant+(Pyidaungzu+Yeiktha+Street)/data=!4m7!3m6!1s0x30c1eb6f6cb162c9:0xcdd769e28938865a!8m2!3d16.7906581!4d96.143712!16s%2Fg%2F1thjr6qr!19sChIJyWKxbG_rwTARWoY4ieJp180?authuser=0&hl=en&rclk=1,Wheelchair-accessible seating | Wheelchair-accessible toilet,,$$,http://www.feelrestaurants.com/,Accepts reservations,Bustling indoor dining center with many stalls serving up traditional Myanmar specialties.,,,,,Breakfast | Lunch | Dinner,,
Warung Berkah 41,4.3,3 reviews,Diner,"VFXM+WHX, Bula, East Seram, Maluku ",,,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,,Cash only,"-3.100139, 130.4839821",https://www.google.com/maps/place/Warung+Berkah+41/data=!4m7!3m6!1s0x2d41a2a644869e67:0xb38a93b070192976!8m2!3d-3.100139!4d130.4839821!16s%2Fg%2F11hbvtxpls!19sChIJZ56GRKaiQS0RdikZcLCTirM?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance,,,,,,,,,,,,
RM. OLLA,5.0,1 review,Diner,"VFWV+M2H, Bula, East Seram, Maluku ",,,Takeaway | Dine-in,Coffee | Halal food,Lunch | Dinner,Good for kids,Casual | Cosy,Groups,Cash only,"-3.103115, 130.492124",https://www.google.com/maps/place/RM.+OLLA/data=!4m7!3m6!1s0x2d41a3442ddd3e4b:0x50617e24e5de11b0!8m2!3d-3.103115!4d130.492124!16s%2Fg%2F11rn_x4xh8!19sChIJSz7dLUSjQS0RsBHe5SR-YVA?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating,,,,,,,,,,,,
Timur Nusa Perdana. PT,5.0,4 reviews,Cafe,"JL. Wailola Bula, 97555, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku ",phone:tel:091521327,,Takeaway,Coffee,Breakfast,Good for kids,Casual | Cosy,Groups,,"-3.10962, 130.498481",https://www.google.com/maps/place/Timur+Nusa+Perdana.+PT/data=!4m7!3m6!1s0x2d41a29394157a07:0x7a1a47cb1c50aaab!8m2!3d-3.10962!4d130.498481!16s%2Fg%2F1pzs7dfnd!19sChIJB3oVlJOiQS0Rq6pQHMtHGno?authuser=0&hl=en&rclk=1,,  Seram Bagian Timur,,,,,,,,,,,
Warung Sumber Rejeki,,,Diner,"Jl. Klp. Dua, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku 97555 ",phone:tel:082199020308, 9AM to 9PM,,,,,,,,"-3.1058444, 130.4895574",https://www.google.com/maps/place/Warung+Sumber+Rejeki/data=!4m7!3m6!1s0x2d41a32a243d9fb3:0xfbd90c6c987713e6!8m2!3d-3.1058444!4d130.4895574!16s%2Fg%2F11flpj8z0q!19sChIJs589JCqjQS0R5hN3mGwM2fs?authuser=0&hl=en&rclk=1,,  Seram Bagian Timur,,http://purmono.blogspot.com/,,,,,,,,,
REV BISTRO,4.7,433 reviews,French restaurant,"Jl. Yudistira No.110, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361 ",phone:tel:081918270777, 8AM to 11PM,Outdoor seating | No-contact delivery | Delivery | Takeaway | Dine-in,Alcohol | Beer | Cocktails | Coffee | Halal food | Kids' menu | Spirits | Wine,Breakfast | Brunch | Lunch | Dinner | Catering | Dessert,Bar on site | Good for kids | High chairs | Toilets,Casual | Cosy,Groups,Debit cards | NFC mobile payments | Credit cards,"-8.6901132, 115.1746248",https://www.google.com/maps/place/REV+BISTRO/data=!4m7!3m6!1s0x2dd24378fe0780c5:0x674301d7db623f7f!8m2!3d-8.6901132!4d115.1746248!16s%2Fg%2F11g0mc6xs9!19sChIJxYAH_nhD0i0Rfz9i29cBQ2c?authuser=0&hl=en&rclk=1,,  Badung,$$,https://bit.ly/3hcy8aB,Accepts reservations,,,,,,,,
POUR Restaurant & Bar,4.4,330 reviews,American restaurant,"1 Degaulle Square, Lafayette, LA 70508, United States ",phone:tel:+13379818085, 11AM to 9PM,,,,,,,,"30.17331, -92.0429",https://www.google.com/maps/place/POUR+Restaurant+%26+Bar/data=!4m7!3m6!1s0x86249db94226e049:0xd49ce71e1add54e9!8m2!3d30.17331!4d-92.0429!16s%2Fg%2F12llp2_ml!19sChIJSeAmQrmdJIYR6VTdGh7nnNQ?authuser=0&hl=en&rclk=1,,,$$,http://www.eatatpour.com/,,,,,,,,,
NOtaBLE - The Restaurant,4.4,"1,350 reviews",Canadian restaurant,"4611 Bowness Rd NW #133, Calgary, AB T3B 0B2, Canada ",phone:tel:+14032884372, 11:30AM to 9PM,,,,,,,,"51.0718258, -114.1597509",https://www.google.com/maps/place/NOtaBLE+-+The+Restaurant/data=!4m7!3m6!1s0x53716ef96aec78c9:0x8246e5e0c5d91bd!8m2!3d51.0718258!4d-114.1597509!16s%2Fg%2F1td2z411!19sChIJyXjsavlucVMRvZFdDF5uJAg?authuser=0&hl=en&rclk=1,,,$$$,https://www.notabletherestaurant.ca/,,,,,,,,,
RPM Italian,4.5,"2,813 reviews",Restaurant,"52 W Illinois St, Chicago, IL 60654, United States ",phone:tel:+13122221888, 4 to 9:30PM,Kerbside pickup | No-contact delivery | Delivery | Takeaway | Dine-in,Alcohol | Beer | Cocktails | Coffee | Comfort food | Happy-hour drinks | Healthy options | Late-night food | Organic dishes | Small plates | Spirits | Vegetarian options | Wine,Lunch | Dinner | Catering | Dessert | Seating,Bar on site | High chairs | Toilets,Romantic | Upmarket,Groups | Tourists,Debit cards,"41.8910545, -87.6299888",https://www.google.com/maps/place/RPM+Italian/data=!4m7!3m6!1s0x880e2cb23ccefa81:0x22a7c1021b3fcdbc!8m2!3d41.8910545!4d-87.6299888!16s%2Fg%2F1hc57r7lx!19sChIJgfrOPLIsDogRvM0_GwLBpyI?authuser=0&hl=en&rclk=1,Wheelchair-accessible entrance | Wheelchair-accessible seating | Wheelchair-accessible toilet | Wheelchair-accessible car park,,$$$,https://www.rpmrestaurants.com/rpm-italian-chicago/,Lunch reservations recommended | Dinner reservations recommended | Accepts reservations | Usually a wait,"Pasta, steaks & seafood served in a sleek, group-friendly eatery backed by Giuliana & Bill Rancic.",Great beer selection | Great cocktails | Great coffee | Great dessert | Great wine list,,,,Lunch | Dinner | Solo dining,,
La Lucciola,4.5,"1,680 reviews",Italian restaurant,"Pantai Petitenget, Jalan Kayu Aya, Kerobokan, Kuta Utara, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361 ",phone:tel:0361730838, 12PM to 12AM,,,,,,,,"-8.6828463, 115.1519759",https://www.google.com/maps/place/La+Lucciola/data=!4m7!3m6!1s0x2dd2470fd48179ed:0xf00250347536ae0b!8m2!3d-8.6828463!4d115.1519759!16s%2Fg%2F1tjjrp4c!19sChIJ7XmB1A9H0i0RC642dTRQAvA?authuser=0&hl=en&rclk=1,,  Badung,$$,https://lalucciolabali.com/,,,,,,,,,
August,4.6,927 reviews,Contemporary Louisiana restaurant,"301 Tchoupitoulas St, New Orleans, LA 70130, United States ",phone:tel:+15042999777, 5 to 10PM,Kerbside pickup | Dine-in | Delivery | Takeaway,Alcohol | Cocktails | Coffee | Vegetarian options | Wine,Lunch | Dinner | Catering | Dessert,Bar on site | Toilets,Cosy | Historic | Romantic | Upmarket,Groups | Tourists,Debit cards | Credit cards,"29.9499784, -90.0667922",https://www.google.com/maps/place/August/data=!4m7!3m6!1s0x8620a672c6910d1b:0xc90d24dbc6014793!8m2!3d29.9499784!4d-90.0667922!16s%2Fm%2F0zg2lhd!19sChIJGw2RxnKmIIYRk0cBxtskDck?authuser=0&hl=en&rclk=1,Wheelchair-accessible entrance | Wheelchair-accessible seating | Wheelchair-accessible toilet,,$$$$,http://www.restaurantaugust.com/,Lunch reservations recommended | Reservations required | Dinner reservations recommended | Accepts reservations | Usually a wait,New French fare at a smart restaurant in a chandelier-studded 19th-century space.,Great coffee | Great dessert | Great tea selection,,,,Lunch | Dinner | Solo dining,,
